"Qué quiere decir ""célula""?";Unidad  básica de los seres vivos. ;Elemento estructural de base de los tejidos.;Elemento funcional de base de los tejidos.
"Qué quiere decir ""PM2.5""?";Partículas de diámetro inferior a 2,5 micrómetros.;Partículas de diámetro inferior a 2,5 macrómetros.;Partículas de diámetro inferior a 2,5 milímetros.
"Qué quiere decir ""PM10""?";Partículas de diámetro inferior a 10 micrómetros.;Partículas de diámetro inferior a 10 picometros.;Partículas de diámetro inferior a 10 partes por millón. 
"Qué quiere decir ""virus""?";Genomas encapsulados y no encapsulados. ;Genomas no encapsulados.;Genomas encapsulados.
"Qué quiere decir ""moco""?";Recubrimiento liquido de aproximadamente 5 micrómetros de espesor que cubre las paredes del tracto respiratorio.;Recubrimiento liquido de aproximadamente 2 micrómetros de espesor que cubre las fosas nasales.;Recubrimiento liquido de aproximadamente 3 micrómetros de espesor que cubre el interior de la nariz. 
"Qué quiere decir ""tejido""?";Estructura compuesta de células que efectúan una misma tarea por la totalidad del organismo. ;Estructura compuesta de células idénticas que efectúan una misma tarea. ;Estructura compuesta de células. 
"Qué quiere decir ""organo""?";Parte del cuerpo que ejecuta una función específica o vital.;Parte del cuerpo que ejecuta una función vital.;Parte del cuerpo que ejecuta una función específica.
"Qué quiere decir ""organismo""?";Célula o grupo de células con más cooperación que conflicto. ;Célula o grupo de células interconectadas. ;Célula o grupo de células. 
Durante las clases en línea, ha sido posible de…;no usar pantalones. ;no usar remera.;quedarse conectado en clase.
"Qué quiere decir ""agente patógeno""?";Organismo que causa efectos negativos en el organismo huésped. ;Organismo que causa síntomas en el organismo huésped. ;Organismo que causa enfermedades. 
Cuál es el reino del SARS-CoV-2?;Orthornavirae.;Sarscivirae.;Coronavirae.
Cuál es el orden del SARS-CoV-2?;Nidovirales.;Sarscovirales.;Coronavirales.
Cuál es el suborden del SARS-CoV-2?;Cornidovirineae.;Coronavirineae.;Sarscovirineae.
Cuál es la subfamilia del SARS-CoV-2?;Orthocoronavirinae.;Betacoronavirinae.;Paravirinae.
Cuál es el género del SARS-CoV-2?;Betacoronavirus.;Orthocoronavirus.;Sarscov.
Cuál es el dominio del SARS-CoV-2?;Riboviria.;Coronaviria.;Sarscov.
"Qué quiere decir ""microbio""?";Ser viviente microscópico que provoca enfermedades. ;Ser viviente que provoca enfermedades. ;Ser viviente microscópico. 
"Qué quiere decir ""virion""?";Partícula viral.;Genoma viral.;Gen viral. 
"Qué quiere decir ""virófago""?";Virus capable de infectar otros virus más grandes para replicarse.;Virus en fase de crecimiento estacionario.;Virus muerto. 
Puede un virus infectar otro virus?;Si.;No.;No, porque los virus no tienen maquinaria celular.
Cuál es la clase del SARS-CoV-2?;Pisonviricetes.;Coronaviridae.;Betacoronavireae.
Son todos los virus nefastos? ;No. Los bacteriófagos infectan solamente las bacterias que pueden ser peligrosas para los humanos. ;No. Hay virus que curan ciertas enfermedades humanas.;Si.
"Qué quiere decir ""ARN ""?";Ácido ribonucleico. ;Ácido ribinucleico.;Ácido desoxirribonucleico. 
"Qué quiere decir ""ADN ""?";Ácido desoxirribonucleico. ;Ácido ribonucleico. ;Ácido desoxidoribonucleico. 
"Qué quiere decir ""gen ""?";Unidad de herencia.;Unidad de ADN.;Unidad de genoma. 
"Qué quiere decir ""genoma ""?";Serie de material genético del organismo. ;Conjunto de genes.;Unidad de material genético. 
"Qué quiere decir ""bacteriófago""?";Virus que infecta las bacterias únicamente. ;Virus creado exclusivamente por bacterias. ;Virus capable de infectar bacteria.  
Cuál es la diferencia entre virus y virion? ;El término virus designa el proceso de infección viral, mientras que virion designa, más precisamente, la partícula viral producida después de la replicación. ;El término virus designa el virus inicial, mientras que virion designa, los virus producidos después de la replicación. ;El término virus designa todos los virus de tamaño superior a 5 nanómetros, mientras que virion designa, todos los virus de tamaño inferior a 5 nanómetros. 
"Cuál es el origen de la palabra ""virus""?";"La palabra viene del latín y quiere decir ""secreción venenosa"".";"La palabra viene del latín y quiere decir ""microbio"".";"La palabra viene del griego y quiere decir ""secreción venenosa""."
Cómo se llama el ancestro universal de todas las células? ;LUCA (Last Universal Common Ancestor). ;FUCA (First Universal Common Ancestor). ;UCA (Universal Common Ancestor). 
Cómo ha variado la trampa durante los examens en línea? ;Ha aumentado. ;No cambió.;Ha disminuido. 
Cuál es el subgénero del SARS-CoV-2?;Sorbecovirus.;Coronavirae.;Sarscov.
"Qué quiere decir ""SARS-CoV-2 ""?";Severe Acute Respiratory Syndrom Coronavirus 2 (coronavirus 2 del síndrome respiratorio agudo severo).;Soft Airborne Respiratory Syndrom Coronavirus 2 (coronavirus 2 del síndrome respiratorio leve aerotransportado).;Severe Airborne Respiratory Syndrom Coronavirus 2 (coronavirus 2 del síndrome respiratorio severo aerotransportado).
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
