Was bedeutet "Zelle"?;Grundbaustein aller Lebewesen;Strukturbaustein von Gewebe;Baustein aller Lebewesen
Was bedeutet "PM2.5"?;Partikel mit einem Durchmesser kleiner als 2,5 Mikrometern;Partikel mit einem Durchmesser kleiner als 2,5 Makrometern;Partikel mit einem Durchmesser kleiner als 2,5 Milimetern
Was bedeutet "PM10"?;Partikel mit einem Durchmesser kleiner als 10 Mikrometern;Partikel mit einem Durchmesser kleiner als 10 Pikometern;Partikel mit einem Durchmesser kleiner als 10ppm
Was bedeutet "Virus"?;Eingekapselte und nicht eingekapselte Genome;Nicht eingekapselte Genome;Eingekapselte Genome
Was bedeutet "Schleim"?;Etwa 5μm dicke Flüssigkeitsschicht, die die Wände der Atemwege bedeckt;Etwa 2μm dicke Flüssigkeitsschicht, die die Wände der Nasenhöhlen bedeckt;Etwa 3μm dicke Flüssigkeitsschicht, die das Innere der Nase bedeckt
Was bedeutet "Gewebe"?;Struktur aus Zellen, die für den gesamten Organismus die gleiche Aufgabe erfüllen;Struktur bestehend aus Zellen;Struktur, die aus identischen Zellen besteht, die dieselbe Aufgabe erfüllen
Was bedeutet "Organ"?;Teil des Körpers, der eine lebenswichtige oder besondere Funktion erfüllt;Teil des Körpers, der eine besondere Funktion erfüllt;Teil des Körpers, der eine lebenswichtige Funktion erfüllt
Was bedeutet "Organismus"?;Etwas, dessen Teile für das integrierte Ganze zusammenarbeiten, mit hoher Kooperation und geringem Konflikt;Zelle oder Gruppe von Zellen;Zelle oder Gruppe von miteinander verbundenen Zellen
Während des Online-Unterrichts war es möglich,;keine Hosen zu tragen;bis zum Ende des Unterrichts online zu bleiben;kein T-Shirt zu tragen
Was bedeutet "Krankheitserreger"?;Organismus, der seinem Wirt Krankheiten zufügt;Organismus, der seinem Wirt negative Symptome zufügt;Organismus, der seinem Wirt Symptome zufügt
Was ist das Königreich von SARS-CoV-2?;Orthornavirae;Coronavirae;Sarscivirae
Wie ist die Reihenfolge von SARS-CoV-2?;Nidovirales;Sarscovirales;Coronavirales
Was ist die Unterordnung von SARS-CoV-2?;Cornidovirineae;Coronavirineae;Sarscovirineae
Was ist die Unterfamilie von SARS-CoV-2?;Orthocoronavirinae;Betacoronavirinae;Paravirinae
Was ist die Gattung von SARS-CoV-2?;Betacoronavirus;Orthocoronavirus;Sarscov
Was ist das Reich von SARS-CoV-2?;Riboviria;Coronaviria;Sarscov
Was bedeutet "Mikrobe"?;Winzige Lebewesen, die Krankheiten verursachen;Winzige Lebewesen, die überall um uns herum zu finden sind und zu klein sind, um mit bloßem Auge gesehen zu werden;Ansteckende Lebewesen, die überall um uns herum zu finden sind
Was bedeutet "Virion"?;Viruspartikel;Virales Gen;Virales Genom
Was bedeutet "Virophage"?;Virus, das andere größere Viren infizieren kann, um sich zu replizieren;Virus in stationärer Wachstumsphase;Totes Virus
Kann ein Virus einen anderen Virus infizieren?;Ja;Nein;Nein. Denn Viren haben keine Zellmaschinerie
Was ist die Klasse von SARS-CoV-2?;Pisonviricetes;Coronaviridae;Betacoronavireae
Sind alle Viren schädlich?;Nein. Bakteriophagen infizieren Bakterien, die für den Menschen gefährlich sein können;Nein. Es gibt einige Viren, die bestimmte menschliche Krankheiten heilen können;Ja
Was bedeutet "RNS"?;Ribonukleinsäure;Ribinukleinsäure;Rebonukleinsäure
Was bedeutet "DNS"?;Desoxyribonukleinsäure;Desoxyrebonukleinsäure;Desoxyribinukleinsäure
Was bedeutet "Gen"?;Einheit der Vererbung;Einheit des Genoms;Einheit der DNA
Was bedeutet "Genom"?;Vollständiger Satz genetischen Materials in einem Organismus;Satz von Genen;Einheit des genetischen Materials
Was bedeutet "Bakteriophage"?;Virus, das nur Bakterien infizieren kann;Virus, das nur von Bakterien erzeugt wird;Virus, das Bakterien infizieren kann
Was ist der Unterschied zwischen Virus und Virion?;Der Begriff "Virus" bezieht sich auf alle Phasen des Virusinfektionszyklus, während sich ein Virion auf ein Viruspartikel bezieht;Der Begriff "Virus" bezieht sich auf das ursprüngliche Virus, während sich ein Virion auf alle Viruspartikel bezieht, die nach der Replikation entstehen;Der Begriff "Virus" bezieht sich auf Viruspartikel, die kleiner als 5 Nanometer sind, während sich Virion auf Viruspartikel bezieht, die größer als 5 Nanometer sind
Was ist der Ursprung des Wortes "Virus"?;Das Wort "Virus" basiert auf einem lateinischen Wort für "giftiges Sekret";Das Wort "Virus" basiert auf einem griechischen Wort für "giftiges Sekret";Das Wort "Virus" basiert auf einem lateinischen Wort für "Mikrobe"
Wie heißt der gemeinsame Vorfahr moderner Zellen?;LUCA (Last Universal Common Ancestor);FUCA (First Universal Common Ancestor);UCA (Universal Common Ancestor)
Wie hat sich das Schummeln bei Online-Prüfungen verändert?;Es hat zugenommen;Es hat sich nicht geändert;Es hat abgenommen
Was ist die Untergattung von SARS-CoV-2?;Sorbecovirus;Coronavirae;Sarscov
Was bedeutet "SARS-CoV-2"?;Severe Acute Respiratory Syndrom Coronavirus 2;Severe Airborne Respiratory Syndrom Coronavirus 2;Soft Airborne Respiratory Syndrom Coronavirus 2
