What does 'cell' mean?;Basic building block of all living things;Structural building block of tissues;Building block of all living things
What does 'PM2.5' mean?;Particles less than 2.5 micrometres in diameter;Particles less than 2.5 macrometres in diameter;Particles less than 2.5 milimetres in diameter
What does 'PM10' mean?;Particles less than 10 micrometres in diameter;Particles less than 10 picometres in diameter;Particles less than 10 parts by million in diameter
What does 'virus' mean?;Encapsulated and non-encapsulated genomes;Encapsulated  genomes;Non-encapsulated genomes
What does 'mucus' mean?;Fluid layer about 5μm thick that covers the walls of the respiratory tract;Fluid layer about 2μm thick that covers the walls of the nasal cavities;Fluid layer about 3μm thick that covers the interior of the nose
What does 'tissue' mean?;Structure composed of cells that perform the same task for the whole organism;Structure composed of cells;Structure composed of identical cells that perform the same task
What does 'organ' mean?;Part of the body that performs a vital or special function;Part of the body that performs a special function;Part of the body that performs a vital function
What does 'organism' mean?;Something whose parts work together for the integrated whole, with high cooperation and low conflict;Cell or group of cells;Cell or group of cells interconnected
During online classes, it's  been possible…;not to wear pants;not to wear a t-shirt;to stay online until the end of the class
What does 'pathogen agent' mean?;Organism causing disease to its host;Organism causing symptoms to its host;Organism causing illness to its host
What's the kingdom of SARS-CoV-2?;Orthornavirae;Coronavirae;Sarscivirae
What's the order of SARS-CoV-2?;Nidovirales;Sarscovirales;Coronavirales
What's the suborder of SARS-CoV-2?;Cornidovirineae;Coronavirineae;Sarscovirineae
What's the subfamily of SARS-CoV-2?;Orthocoronavirinae;Betacoronavirinae;Paravirinae
What's the genus of SARS-CoV-2?;Betacoronavirus;Orthocoronavirus;Sarscov
What's the realm of SARS-CoV-2?;Riboviria;Coronaviria;Sarscov
What does 'microbe' mean?;Tiny living thing that cause diseases;Tiny living things that are found all around us and are too small to be seen by the naked eye;Contagious living things that are found all around us
What does 'virion' mean?;Virus particle;Viral genome;Viral gen
What does 'virophages' mean?;Virus capable of infecting other larger viruses to replicate;Virus in stationary growth phase.;Dead virus
Can a virus infect another virus?;Yes;No;No. Because viruses have no cellular machinery
What's the class of SARS-CoV-2?;Pisonviricetes;Coronaviridae;Betacoronavireae
Are all viruses harmful?;No. Bacteriophages infect bacteria that can be dangerous for human;Yes;No. There are some viruses capable of curing certain human diseases
What does 'RNA' mean?;Ribonucleic acid;Ribinucleic acid;Deoxyribonucleic acid
What does 'DNA' mean?;Deoxyribonucleic acid;Ribonucleic acid;Desoxyribonucleic acid
What does 'gen' mean?;Unit of heredity;Unit of DNA;Unit of genome
What does 'genome' mean?;Complete set of genetic material in an organism;Set of genes;Unit of genetic material
What does 'bacteriophage' mean?;Virus capable of only infecting bacteria;Virus created only by bacteria;Virus capable of infecting bacteria
What's the difference between virus and virion?;The term 'virus' refers to all phases of the virus infection cycle, whereas a virion refers to a virus particle;The term 'virus' refers to the initial virus, whereas a virion refers to all the virus particles created after replication;The term 'virus' refers to the virus particles smaller than 5 nanometres, whereas virion refers to virus particles bigger than 5 nanometres
'What's the origin of the word 'virus'?;The English word 'virus' is based on a Latin word for 'poisonous secretion';The English word 'virus' is based on a Greek word for 'poisonous secretion';The English word 'virus' is based on a Latin word for 'microbe'
What's the name of the common ancestor of modern cells?;LUCA (Last Universal Common Ancestor);FUCA (First Universal Common Ancestor);UCA (Universal Common Ancestor)
How has cheating changed during online exams?;It's increased;It's decreased;It hasn't changed
What's the subgenus of SARS-CoV-2?;Sorbecovirus;Coronavirae;Sarscov
What does 'SARS-CoV-2' stand for?;Severe Acute Respiratory Syndrom Coronavirus 2;Soft Airborne Respiratory Syndrom Coronavirus 2;Severe Airborne Respiratory Syndrom Coronavirus 2
