Qu’est-ce que "cellule" veut dire?;Unité basique des êtres vivants;Élément de base structural des tissus;Élément de base fonctionnel des tissus
Qu’est-ce que "PM2.5" veut dire?;Particules de diamètre inférieur à 2,5 micromètres;Particules de diamètre inférieur à 2,5 macromètres;Particules de diamètre inférieur à 2,5 milimètres
Qu’est-ce que "PM10" veut dire? ;Particules de diamètre inférieur à 10 micromètres;Particules de diamètre inférieur à 10 picomètres;Particules de diamètre inférieur à 10 parties par million
Qu’est-ce que "virus" veut dire?;Génomes encapsulés et non-encapsulés;Génomes non-encapsulés;Génomes encapsulés
Qu’est-ce que "mucus" veut dire? ;Couche liquide d’environ 5 micromètres d’épaisseur qui couvre les parois du tractus respiratoire;Couche liquide d’environ 2 micromètres d’épaisseur qui couvre les fosses nasales;Couche liquide d’environ 3 micromètres d’épaisseur qui couvre l'intérieur du nez
Qu’est-ce que "tissu" veut dire?;Structure composée de cellules qui effectuent une même tâche pour l’ensemble de l’organisme;Structure composée de cellules;Structure composée de cellules identiques qui effectuent une même tâche
Qu’est-ce que "organe" veut dire?;Partie du corps qui performe une fonctionne spécifique ou vitale;Partie du corps qui performe une fonctionne vitale;Partie du corps qui performe une fonctionne spécifique
Qu’est-ce que "organisme" veut dire?;Cellule ou groupe de cellules avec plus de coopération que de conflit;Cellule ou groupe de cellules;Cellule ou groupe de cellules interconnectés
Pendant les cours en ligne, il a été désormais possible de…;ne pas porter des pantalons;ne pas porter de t-shirt;rester en ligne dans la classe
Qu’est-ce que "agent pathogène" veut dire?;Organisme qui cause des effets négatifs dans l’organisme hôte;Organisme qui cause des symptômes dans l’organisme hôte;Organisme qui cause des maladies
Quel est le royaume du SARS-CoV-2?;Orthornavirae;Coronavirae;Sarscivirae
Quel est l‘ordre du SARS-CoV-2?;Nidovirales;Sarscovirales;Coronavirales
Quel est le sous-ordre du SARS-CoV-2?;Cornidovirineae;Coronavirineae;Sarscovirineae
Quelle est la sous-famille du SARS-CoV-2?;Orthocoronavirinae;Betacoronavirinae;Paravirinae
Quel est le genre du SARS-CoV-2?;Betacoronavirus;Sarscov;Orthocoronavirus
Quel est le domaine du SARS-CoV-2?;Riboviria;Sarscov;Coronaviria
Qu’est-ce que "microbe" veut dire?;Être vivant microscopique qui provoque des maladies;Être vivant qui provoque des maladies;Être vivant microscopique
Qu’est-ce que "virion" veut dire?;Particule virale;Génome viral;Gène viral
Qu’est-ce que "virophage" veut dire?;Virus capable d’infecter d’autres virus plus grands pour se répliquer;Virus en phase de croissance stationnaire;Virus mort
Un virus peut-il infecter un autre virus?;Oui;Non;Non, parce qu'un virus n'a pas de machinerie cellulaire
Quelle est la classe du SARS-CoV-2?;Pisonviricetes;Coronaviridae;Betacoronavireae
Est-ce que tous les virus sont néfastes?;Non. Les bacteriophages infectent seulement les bactéries qui peuvent être dangereuses pour les humains;Non. Il y a de virus qui soignent certaines maladies chez l'homme;Oui
Qu’est-ce que „ARN“ veut dire?;Acide ribonucléique;Acide ribinucléique;Acide désoxyribonucléique
Qu’est-ce que „ADN“ veut dire?;Acide désoxyribonucléique;Acide désoxyribinucléique;Acide ribonucléique
Qu’est-ce que „gène“ veut dire?;Unité d'hérédité;Unité d'ADN;Unité de génome
Qu’est-ce que „génome“ veut dire?;Série de matériel génétique de l’organisme;Ensemble de gènes;Unité de matériel génétique
Qu’est-ce que „bacteriophage“ veut dire?;Virus qui infectent des bactéries uniquement.;Virus créé exclusivement par des bactéries;Virus capable d'infecter bactéries
Quelle est la différence entre virus et virion?;Le terme virus désigne le processus d’infection virale, pendant que virion désigne, plus précisément, la particule virale produite après réplication;Le terme virus désigne le virus initial, pendant que virion désigne, les virus produits après réplication;Le terme virus désigne tous les virus de taille supérieure à 5 nanomètres, pendant que virion désigne tous les virus de taille inférieure à 5 nanomètres
Quel est l'origine du mot virus?;Il vient du latin et veut dire "sécrétion vénéneuse";Il vient du grec et veut dire "sécrétion  vénéneuse";Il vient du latin et veut dire "microbe"
Comment s’appelle l’ancêtre universal de toutes les cellules?;LUCA (Last Universal Common Ancestor);FUCA (First Universal Common Ancestor);UCA (Universal Common Ancestor)
Comment a-t-elle varié la tricherie pendant les examens en ligne?;Elle a augmenté;Elle est restée stable;Elle a diminué
Quel est le sous-genre du SARS-CoV-2?;Sarbecovirus;Coronavirae;Sarscov
Qu’est-ce que "SARS-CoV-2" veut dire?;Severe Acute Respiratory Syndrom Coronavirus 2 (coronavirus 2 du syndrome respiratoire aigu sévère);Soft Airborne Respiratory Syndrom Coronavirus 2 (coronavirus 2 du syndrome respiratoire mou aéroporté);Severe Airborne Respiratory Syndrom Coronavirus 2 (coronavirus 2 du syndrome respiratoire sévère aéroporté)
