"Wat betekent ""cel""?";Basisbouwsteen van alle levende wezens.;Bouwsteen van alle levende wezens.;Structurele bouwsteen van weefsel.
Bouwsteen van alle levende wezens.;;;
Structurele bouwsteen van weefsel.;;;
Basisbouwsteen van alle levende wezens.;;;
;;;
"Wat betekent ""PM2.5""?";;;
Deeltjes met een diameter kleiner dan 2,5 micrometer. ;;;
Deeltjes met een diameter kleiner dan 2,5 macrometer.;;;
Deeltjes met een diameter kleiner dan 2,5 millimeter.;;;
;;;
"Wat betekent ""PM10""?";;;
Deeltjes met een diameter kleiner dan 10 micrometer. ;;;
Deeltjes met een diameter kleiner dan 10 picometer.;;;
Deeltjes met een diameter kleiner dan 10 ppm.;;;
;;;
"Wat betekent ""virus""?";;;
Ingekapselde genomen.;;;
Niet-ingekapselde genomen.;;;
Ingekapselde en niet-ingekapselde genomen.;;;
;;;
"Wat betekent ""slijm""?";;;
Ongeveer 5 μm dikke laag vloeistof die de wanden van de luchtwegen bedekt.;;;
Ongeveer 2 μm dikke laag vloeistof die de wanden van de neusholten bedekt.;;;
Ongeveer 3 μm dikke laag vloeistof die de binnenkant van de neus bedekt.;;;
;;;
"Wat betekent ""weefsel""?";;;
Structuur bestaande uit identieke cellen die dezelfde taak uitvoeren.;;;
Structuur opgebouwd uit cellen.;;;
Structuur bestaande uit cellen die dezelfde taak uitvoeren voor het hele organisme.;;;
;;;
"Wat betekent ""orgaan""?";;;
Deel van het lichaam dat een vitale functie vervult.;;;
Deel van het lichaam dat een vitale of speciale functie vervult.;;;
Deel van het lichaam dat een specifieke functie vervult.;;;
;;;
"Wat betekent ""organisme""?";;;
Iets waarvan de delen samenwerken voor het geïntegreerde geheel, met een hoge mate van samenwerking en weinig conflict.;;;
Cel of groep cellen.;;;
Cel of groep onderling verbonden cellen.;;;
;;;
Tijdens de online lessen was het mogelijk om;;;
blijf online tot het einde van de les.;;;
geen t-shirt te dragen.;;;
geen broek te dragen.;;;
;;;
"Wat betekent ""pathogeen""?";;;
Organisme dat symptomen veroorzaakt bij zijn gastheer.;;;
Organisme dat zijn gastheer ziek maakt.;;;
Organisme dat negatieve symptomen veroorzaakt bij zijn gastheer.;;;
;;;
Wat is het koninkrijk van SARS-CoV-2?;;;
Coronavirae.;;;
Orthornavirae.;;;
Sarscivirae.;;;
;;;
Wat is de volgorde van SARS-CoV-2?;;;
Sarscovirales.;;;
Nidovirales.;;;
Coronavirales.;;;
;;;
Wat is de onderorde van SARS-CoV-2?;;;
Coronavirineae.;;;
Cornidovirineae.;;;
Sarscovirineae. ;;;
;;;
Wat is de subfamilie van SARS-CoV-2?;;;
Betacoronavirinae.;;;
Orthocoronavirinae.;;;
Paravirinae. ;;;
;;;
Wat is het geslacht van SARS-CoV-2?;;;
Orthocoronavirus.;;;
Betacoronavirus.;;;
Sarscov.;;;
;;;
Wat is het rijk van SARS-CoV-2?;;;
Riboviria.;;;
Coronaviria.;;;
Sarscov.;;;
;;;
"Wat betekent ""microbe""?";;;
Kleine wezens die ziekten veroorzaken.;;;
Kleine wezens die overal om ons heen voorkomen en te klein zijn om met het blote oog te zien.;;;
Besmettelijke wezens die overal om ons heen voorkomen.;;;
;;;
"Wat betekent ""virion""?";;;
Virusdeeltjes.;;;
Viraal genoom.;;;
Viraal gen.;;;
;;;
"Wat betekent ""virofaag""?";;;
Virus dat andere grotere virussen kan infecteren om te repliceren.;;;
Virus in stationaire groeifase.;;;
Dood virus.;;;
;;;
Kan een virus een ander virus infecteren?;;;
Ja.;;;
Nee. ;;;
Nee. Omdat virussen geen celmachinerie hebben.;;;
;;;
Wat is de klasse van SARS-CoV-2?;;;
Pisonviricetes. ;;;
Coronaviridae. ;;;
Betacoronavireae.;;;
;;;
Zijn alle virussen schadelijk?;;;
Nee. Bacteriofagen infecteren bacteriën die gevaarlijk kunnen zijn voor de mens.;;;
Nee. Er zijn enkele virussen die bepaalde menselijke ziekten kunnen genezen.;;;
Ja.;;;
;;;
"Wat betekent ""RNA""?";;;
Rebonucleïnezuur.;;;
Ribonucleïnezuur.;;;
