La inmunidad colectiva se presenta cuando…;Hay suficientemente gente inmunizada para bloquear la circulación de un virus (no 100%);Hay un 100% de gente inmunizada;Hay más de un 50% de gente inmunizada
¿Las medidas de protección puestas en marcha permiten también de protegerse de otros virus respiratorios como la gripe o los resfriados?;Verdadero;Falso
¿Qué agente de limpieza permite eliminar el Covid-19 de las superficies inanimadas?;Producto de limpieza clásico o producto desinfectante;Etanol a 100%;Etanol a 86%
El barbijo esconde…;la nariz, la boca y el mentón;la nariz y la boca;la boca
Si el barbijo se desplazó de su posición adecuada,…;hay que acomodarlo bien con las manos desinfectadas;no hay que tocarlo;hay que acomodarlo diferentemente
¿Usar guantes en la vida cotidiana me protege del virus?;No;Sí
Para soplarme la nariz,…;tengo un pañuelo de uso personal;puedo compartir mi pañuelo con alguien que este en mi burbuja personal;cualquier tipo de pañuelo es útil
El uso de barbijo en lugares donde no es obligatorio sirve…;para limitar las proyecciones de los postillones y las secreciones nasales personales en el ambiente;para limitar las proyecciones de otros;para limitar las proyecciones de otros y las nuestras
¿El barbijo solo sirve para proteger la gente alrededor mío?;Falso, la barbijo es igualmente capaz de diminuir la carga viral recibida y, por lo tanto, de reducir la gravedad de los síntomas si atrapamos el virus;Verdadero
¿A qué temperatura los barbijos reutilizables deben ser lavadas?;A mínimo 56 ºC;A mínimo 60 ºC;A mínimo 100 ºC
¿Cuánto tiempo hay que lavar las barbijos reutilizables?;30min mínimo;45min mínimo;1h mínimo
¿Qué concentración de etanol es la más eficaz para un agente de limpieza?;70%;95%;100%
¿Cómo prepararían una botella de 4 L de desinfectante para las manos con una botella de 3L y otra de 5L solamente?;Solución 1;Solución 2
¿Cuál es el agente de limpieza más eficaz?;Etanol a 70%;Etanol a 85%;Cloroformo a 92%
Al comienzo de la Covid-19, ¿qué droga esencial para la medicina cayó rápidamente en escasez?;Sulfato de hydrochloroquina;Sulfito de hydrochloroquina;Sulfito de hydrochlorina
¿Puede el virus sobrevivir sobre papel?;Sí;No
¿El uso de lentes en la vida cotidiana otorga una protección extra contra el virus?;No;Sí
¿El virus puede ser transmitido por la sangre?;Sí;No
¿La gente que tira sus barbijos al piso, de qué tienen miedo?;De que el basurero les estornude en la trompa;De ser identificados;De perder su libertad
¿A quién le debe resultar más difícil ponerse su barbijos?;Voldemort;Kim Kardashian;Thanos
¿Cómo se llama una persona que tiene una adición al gel hidroalcohólico?;Una persona hidroalcohólica;Una persona maniática;Una persona adicta
La vitamina D…;ayuda a disminuir el riesgo de una infección respiratoria viral aguda;ayuda contra los problemas de digestión;ayuda a reforzar el sistema cardíaco
¿Cómo evitar de tocarse la cara y, por lo tanto, contraer una infección viral?;Hay que simplemente sostener una cerveza en cada mano;Hay que atarse en una cuerda;Hay que cortarse las manos
Antes de la Covid-19, habríamos estornudado para esconder un pedo, En pandemia habríamos más bien…;Pedorreado para esconder un estornudo;Puesto música para esconder el pedo;Saltado para esconder los dos
¿La vacunación contra la influenza ha ayudado a disminuir la gravedad de los casos de la Covid-19?;Sí;No
El virus puede persistir en los aerosoles:;3h;2h;4h
Después de soplarse la nariz,…;hay que tirar el pañuelo a la basura correspondiente sin olvidar de lavarse las manos o desinfectarlas;hay que tirar el pañuelo a la basura sin olvidar de se lavarse las manos;hay que tirar el pañuelo a la basura correspondiente
¿Por qué el uso de barbijos no permite un discurso claro?;Porque el barbijo disminuye las frecuencias sonoras;Porque el barbijo actúa como una barrera sonora;Porque el barbijo corta la corriente de aire que viene de los pulmones
La vitamina E…;refuerza el sistema inmunitario;sostiene un mecanismo de defensa respiratorio;protege al organismo de agentes patógenos
La vitamina C…;sostiene un mecanismo de defensa respiratorio;refuerza el sistema inmunitario;protege al organismo de agentes patógenos
