Groepsimmuniteit treedt op wanneer...3;er genoeg mensen zijn gevaccineerd om de circulatie van een virus te blokkeren (niet 100%);100% van de mensen is gevaccineerd;meer dan 50% van de mensen is gevaccineerd
Kunt u zich met de door u genomen beschermende maatregelen tegen andere luchtwegvirussen zoals griep of verkoudheid beschermen?2;Juist;Fout
Welk reinigingsmiddel verwijdert Covid-19 van levenloze oppervlakken?2;Klassiek reinigingsproduct of desinfectiemiddel;100% ethanol;86% ethanol
Het masker dient de volgende lichaamsdelen te bedekken...1;de neus, mond en kin;de mond;de neus en mond
Als het masker is verplaatst dan is het volgende van belang...1;je moet het goed terugplaatsen met ontsmette handen;je hoeft het niet aan te raken;je moet het anders accommoderen
Beschermt het dragen van handschoenen in het dagelijks leven mij tegen het virus?1;Nee;Ja
Om mijn neus te snuiten...1;Gebruik ik een zakdoek voor persoonlijk gebruik;Kan ik mijn zakdoek delen met iemand die in mijn persoonlijke bubble zit;elk type sjaal is handig
Het is zinvol om een ​​masker te gebruiken op plaatsen waar dit niet nodig is...1;om de uitstoot van aerosolen en overig neusvocht in de omgeving te beperken;om de uitstoot van anderen te beperken;om de uitstoot van anderen en de onze te beperken
Het masker wordt alleen gebruikt om de mensen om mij heen te beschermen?1;Fout. Het masker kan ook de ontvangen virale lading verlagen en zo de ernst van de symptomen verminderen in het geval van een infectie met het virus;Juist
Op welke temperatuur moeten herbruikbare maskers gewassen worden?2;Minimaal 56Cº;Minimaal 60Cº;Minimaal 100Cº
Hoe lang moeten herbruikbare maskers gewassen worden?2;30 minuten tenminste;45 minuten tenminste;1 uur minstens
Welke ethanolconcentratie is het meest effectief voor een reinigingsmiddel?3;70%;95%;100%
Hoe zou je een 4 liter fles handdesinfecterend middel bereiden met slechts een 3 liter fles en een 5 liter fles?3;Oplossing 1;Oplossing 2
Wat is het meest effectieve wasmiddel?3;70% ethanol;85% ethanol;Chloroform op 92%
Welk essentieel medicijn voor medicijnen is sinds het begin van Covid-19 snel schaars geworden?3;hydrochloroquinesulfaat;hydrochloroquinesulfiet;waterstofchloridesulfiet
Kan het virus op papier overleven?2;Ja;Nee
Biedt het dragen van een bril in het dagelijks leven extra bescherming tegen het virus?1;Nee;Ja
Kan het virus via bloed worden overgedragen?1;Ja;Nee
De mensen die hun maskers op de grond gooien, waar zijn ze bang voor?1;Dat de vuilnisbak op hun eten niest;Om geïdentificeerd te worden;Hun vrijheid te verliezen
Voor wie zou het moeilijker zijn om het masker op te zetten?1;Voldemort;Kim Kardashian;Thanos
Wat is de naam van een persoon die een toevoeging heeft aan hydroalcoholische gel?1;Een hydroalcoholisch persoon;Een gek persoon;Een verslaafde persoon
Vitamine D...;Helpt het risico op acute respiratoire virale infectie te verminderen2;Helpt tegen spijsverteringsproblemen;Helpt het hartsysteem te versterken
Hoe voorkom ik dat ik mijn gezicht aanraak en daardoor een virale infectie krijg?1;Ik moet gewoon een biertje in elke hand hebben;Ik moet in mijn handen snijden;Ik moet mezelf aan een touw vastbinden
Vóór Covid-19 moesten we niezen om een ​​scheet te verbergen. Tijdens de pandemie hebben we liever...1;Laat een scheet om een ​​niesbui te verbergen;Speel muziek om de scheet te verbergen;Maak een sprong in de lucht om de twee te verbergen
Heeft de griepprik de ernst van Covid-19-gevallen helpen verminderen?3;Ja;Nee
Het virus kan blijven bestaan __ in de vorm van aerosols3;3 uren;2 uren;4 uren
Nadat je je neus hebt gesnoten...1;Moet je de zakdoek in e daarvoor bestemde afvalbak gooien en niet  vergeten uw handen te wassen of te desinfecteren;Moet je de zakdoek in de prullenbak gooien en vervolgens je handen wassen;Moet je de zakdoek in de daarvoor bestemde prullenbak gooien
Waarom ben je tijdens het dragen van een gezichtsmasker moeilijk te verstaan?2;Omdat het masker de geluidsfrequenties vermindert;Omdat het masker als geluidsbarrière fungeert;Omdat het masker de luchtstroom die uit de longen blokkeert
Vitamine E...2;versterkt het immuunsysteem;beschermt het lichaam tegen ziekteverwekkers;ondersteunt een ademhalingsbeschermingsmechanisme
Vitamine C...2;ondersteunt een ademhalingsbeschermingsmechanisme;beschermt het lichaam tegen ziekteverwekkers;versterkt het immuunsysteem
