1;To wash vegetables that were exposed to the public, it is enough to…;soak them in cold water;wipe them with a clean cloth;soak them in hot water
1;Why does buying a vodka and drinking it not help against COVID-19 as Mr. Trump has said?;Because alcohol depresses the immune system;Because the alcohol in the vodka is too concentrated;Because the alcohol in the vodka is not concentrated enough
2;What is the ideal temperature for viruses?;20°C;10°C;30°C
3;What is the optimal relative humidity to contain the virus for as long as possible?;About 80%;Around 100%;Around 50%
3;Does the mask prevent the dispersion of expired droplets through the mouth when coughing?;No;Yes;Yes, because it holds the breath
3;Thanks to a cough or sneeze, the virus can be projected to…;more than 3 meters;more than 2 meters;more than 1 meter
2;While talking, the virus is projected to...;less than 1 meter;less than 2 meters;more than 1 meter
2;The virus can enter my body through...;the nose and the mouth;the nose, the mouth, and the eyes;the nose, the mouth, the eyes, and the ears
1;Do beliefs play a role when following the measures against COVID-19?;Yes;No, it is a matter of local policies;No, it is simply collective responsibility
3;Can the virus persist in frozen food?;Yes;Yes, but not for long;No, the cold kills viruses and bacteria
3;Are there viruses in food?;Yes;Yes, except for frozen foods;No
3;What percentage of deaths occurs through formites?;25%;10%;45%
3;What has the most influence on SARS-CoV-2?;Temperature;Humidity;pH
3;SARS-CoV-2 has a half-life on copper of…;1h;2h;4h
3;SARS-CoV-2 is detectable on cotton during…;24h;10h;3h
3;SARS-CoV-2 can be inactivated by exposure to…;UV radiation;infrared rays;gamma radiation
3;SARS-CoV-2 has a lifetime on copper of...;4h;2h;1h
3;SARS-CoV-2 is infectious on plastic for…;120h;12h;30h
3;SARS-CoV-2 is infectious on glass for…;120h;60h;30h
3;SARS-CoV-2 is infectious on stainless steel for…;72h;24h;48h
3;Which materials protect better against the virus, absorbent materials or non-absorbent materials?;Absorbent materials;Non-absorbent materials;None of both
2;Can the virus survive temperatures below -20°C?;Yes, the virus is deactivated;No, the virus is deactivated;Yes
2;What disinfecting agent can be used to effectively inactivate SARS-CoV-2?;Hydrogen peroxide;Methanol;Sodium chloride
2;Chlorine dioxide can decrease viral load in aerosols?;Yes;No;No, only on the surfaces
2;Can peroxyacetic acid decrease viral load in aerosols?;Yes;No;No, only on the surfaces
3;Can ozone decrease viral load in aerosols?;Yes;No, because it is a gas;Yes, because it is a gas
2;What percentage of the world's population breathes air that does not meet the UN minimum standards?;92%;64%;83%
3;What should be the minimum effectiveness of a mask to be considered to be used?;94%;50%;99%
1;Can COVID-19 be detected by ultrasound?;Yes;No;No, it's too miniscule for that
2;Is it better to use a non-certified mask or reuse a properly washed mask?;A certified and reused mask;A non-certified mask;None of both
1;Are non-certified masks more effective than not wearing a mask?;No;Yes;The two are equally ineffective
1;Does a good beer demotivate the virus?;No;Yes;No, but it helps immunity
1;If you bought 140 rolls of toilet paper for 14 days of quarantine...;You should have gone to the doctor long before the pandemic.;You can be sure that it will be enough for 6 months.;You can be sure that it will be enough for the entire pandemic.
2;The increase in wind speed...;decreases the incidence of COVID-19.;increases the incidence of COVID-19.;does not affect the incidence of COVID-19.
