Was ist für ein Land in der Pandemie günstiger?2;Menschen impfen;Menschen nicht impfen;Menschen werden teilweise geimpft
Was berücksichtigen wir bei der Prüfung der Wirksamkeit eines Impfstoffs?2;Positive Fälle nach Impfung;Todesfälle nach Impfung;Nebenwirkungen nach der Impfung
Wie lange dauert es nach der Impfung, bis die Wirksamkeit getestet ist?3;7 Tage;14 Tage;10 Tage
Wie hat sich die Weltwirtschaft im Jahr 2019 verändert?3;+3%;+2%;-1%
Wie hat sich die Weltwirtschaft im Jahr 2020 verändert?3;+3,1%;-1%;+3%
Welthandel __ aus der Ausgangssperre3;um 2,4% gestiegen;um 1,2% gestiegen;um 3,4% gestiegen
Wie hoch war die jährliche globale Inflation im Jahr 2019?3;4,2%;2,1%;1,3%
Welche Regierung hatte 2019 die höchste Staatsverschuldung?3;Japan;Argentinien;Venezuela
Die Inflation in China ist in nur drei Monaten der Pandemie von etwa 2% auf etwa __ gestiegen3;5%;3%;7%
Haben alle Länder aufgrund der Pandemie einen Anstieg der Inflation und einen Rückgang der Geldgewinne erlebt?3;Nein;Ja;Ja, außer China
Welche Branchen haben am meisten von der Pandemie profitiert?3;Der Gesundheitssektor, die Chemieindustrie, die Automobilindustrie und der Kreativsektor wie TikTok;Die Chemieindustrie, die Automobilindustrie und die Kreativbranche wie TikTok;Das Gesundheitswesen, die Lebensmittelindustrie und die Getränkeindustrie
Welche Branchen haben am meisten unter der Pandemie gelitten?2;Tourismus, Gastronomie und Luftfahrt;Tourismus, Luftfahrt und Gesundheit;Luftfahrt, Gesundheit und Transport
Hat die Umweltverschmutzung während der Pandemie zugenommen oder abgenommen?1;Es hat abgenommen;Es hat zugenommen;Weder
Welche positiven Umweltauswirkungen hat die Pandemie, wenn die Wirtschaft erst einmal eingefroren ist?2;Die Luft ist weniger belastet;Der Hausmüll ist zurückgegangen;Der übermäßige Konsum ist zurückgegangen
Welche negativen Umweltauswirkungen hat die Pandemie, wenn die Wirtschaft erst einmal eingefroren ist?2;Mehr medizinischer Abfall;Die Luft ist stärker verschmutzt;Übermäßiger Stromverbrauch
Haben wir während der Pandemie neue Verschmutzungsquellen geschaffen?1;Ja;Nein;Nein, außer Maskenabfall
Gibt es Länder, die aufgrund der Pandemie nicht verschuldet sind?1;Nein;Ja;Ja, insbesondere China
Was ist der Hauptfaktor, der die Staatsverschuldung während des Lockdowns verschlimmert?2;Der Mangel an Bewegung der Menschen;Der Mangel an Infrastruktur;Die Zunahme der Todesfälle
Welche Auswirkungen hatte der Lockdown auf die Toilettenpapierindustrie?1;Die Branche ist enorm gewachsen;Die Branche ist geschrumpft;Die Branche ist stabil geblieben
Haben wir während der Pandemie aufgehört, Millionäre hervorzubringen?1;Nein;Ja;Ja, wir haben einen drastischen Rückgang an neuen Millionären erlebt
Welches ist das erste Land, das gegen COVID-19 impft?1;China;USA;Deutschland
Was ist die größte globale Impfkampagne?2;COVID 19;Grippe;Ebola
Was liefert mehr Ergebnisse zu einem niedrigeren Preis?2;Kaufen Sie eine normale Maske und Händedesinfektionsmittel;Kaufen Sie eine chirurgische Maske;Kaufen Sie Händedesinfektionsmittel und Schutzbrillen
Was waren die größten Herausforderungen für Nachfragegüterunternehmen?2;Die neuen Arbeitsbedingungen während der Pandemie und die drastische Reduzierung der Transporte;Die neuen Arbeitsbedingungen während der Pandemie und die Ineffizienz der Arbeit von zu Hause aus;Die neuen Arbeitsbedingungen während der Pandemie und die drastische Verkürzung der Arbeitszeit
Warum konnten viele stark nachgefragte Produkte, wie zum Beispiel Toilettenpapier, während der Pandemie keine exorbitanten Preise erzielen?2;Dank staatlicher Intervention;Dank Überbeständen;Dank der Stabilisierung der Nachfrage
Welche Länder wurden durch die Pandemie am stärksten geschwächt?2;Exporteure;Importeure;Beide
Bei welchen Produkten ist die Nachfrage gestiegen?1;Lebensmittel und Gesundheitsprodukte;Gesundheitsprodukte;Essen und Videospiele
Zu Beginn der Pandemie schrumpfte die Weltwirtschaft innerhalb von drei Monaten um 3,3% auf…3;-3%;-4,6%;-1,1%
Wer sind die einzigen Fachkräfte, die zu Beginn der Pandemie keinen Einfluss hatten?1;Die Astronauten;Die Gefangenen;Die Lieferboten
Wie kann man während der Entbindung zu Weihnachten etwas Geld sparen?1;Den Kindern muss gesagt werden, dass der Weihnachtsmann die Pandemie nicht überleben konnte;Den Kindern muss mitgeteilt werden, dass Weihnachten aufgrund der Ausgangsbeschränkungen ausgesetzt wurde;Der Kalender muss vor Kindern verborgen bleiben
