¿Qué es más barato para un país en pandemia?2;Vacunar a la gente;No vacunar a la gente;Vacunar parcialmente a las personas
¿Qué consideramos al examinar la eficacia de una vacuna?2;Los casos positivos tras la vacunación;Las muertes después de la vacunación;Las secuelas tras la vacunación
¿Cuánto tiempo pasa después de la vacunación para probar su eficacia?3;7 días;10 días;14 dias
¿Cómo varió la economía mundial en 2019?3;+3%;+2%;-1%
¿Cómo varió la economía mundial en 2020?3;+3,1%;+3%;-1%
El comercio global __ a partir del confinamiento3;aumentó un 2,4%;aumentó un 1,2%;aumentó un 3,4%
¿Cuál fue la inflación mundial anual en 2019?3;4,2%;1,3%;2,1%
¿Qué gobierno tuvo más deuda pública en 2019?3;Japón;Argentina;Venezuela
La inflación en China pasó de alrededor del 2% a alrededor del __ en sólo 3 meses de pandemia3;5%;3%;7%
¿Todos los países han experimentado un aumento de la inflación y una reducción del dinero ganado debido a la pandemia?3;No;Sí;Sí, excepto China
¿Qué sectores se han beneficiado más de la pandemia?3;El sector sanitario, la industria química, la industria automotriz, y el sector de la creatividad como TikTok;La industria química, la industria automotriz y el sector de la creatividad como TikTok;El sector sanitario, la industria alimentaria y la industria de bebidas
¿Qué sectores han sufrido más por la pandemia?2;Turismo, hotelería y aviación;Turismo, aviación y salud;Aviación, salud y transporte
¿Ha aumentado o disminuido la contaminación durante la pandemia?1;Ha disminuido;Ha aumentado;Ninguno de los dos
¿Cuáles son los efectos ambientales positivos de la pandemia, una vez que la economía se ha congelado?2;El aire se ha vuelto menos contaminado;Los residuos domésticos han disminuido;El consumo excesivo ha disminuido
¿Cuáles son los efectos ambientales negativos de la pandemia, una vez que la economía se ha congelado?2;Más desechos médicos;El aire se ha vuelto más contaminado;Consumo excesivo de electricidad
¿Hemos creado nuevas fuentes de contaminación durante la pandemia?1;Sí;No;No, excepto los residuos de mascarillas
¿Hay países que no están endeudados por la pandemia?1;No;Sí, especialmente China;Sí
¿Cuál es el principal factor que empeora la deuda pública durante el confinamiento?2;La falta de movimiento de personas;Falta de infraestructura;El aumento de las muertes
¿Cuál fue el impacto del confinamiento en la industria del papel higiénico?1;La industria ha crecido enormemente;La industria ha disminuido;La industria ha permanecido estable
¿Hemos dejado de producir millonarios durante la pandemia?1;No;Sí;Sí, hemos experimentado una reducción drástica de nuevos multimillonarios
¿Cuál es el primer país en vacunar contra el COVID-19?1;China;Estados Unidos;Alemania
¿Cuál es la mayor campaña de vacunación mundial?2;COVID-19;Influenza;Ébola
¿Qué da más resultados a un precio más bajo?2;Comprar un barbijo normal y un desinfectante para manos;Comprar desinfectante para manos y lentes de protección;Comprar un barbijo quirúrgico
¿Cuáles fueron los mayores desafíos para las empresas de bienes en demanda?2;Las nuevas condiciones laborales durante la pandemia y la drástica reducción del transporte;Nuevas condiciones laborales durante la pandemia y la ineficiencia del trabajo desde casa;Las nuevas condiciones laborales durante la pandemia y la drástica reducción de la jornada laboral
¿Por qué muchos productos muy demandados, como el papel higiénico, no alcanzaron precios exorbitantes durante la pandemia?2;Gracias a la intervención del gobierno;Gracias al exceso de stock;Gracias a la estabilización de la demanda
¿Qué tipo de países han quedado más debilitados por la pandemia?2;Exportadores;Importadores;Los dos
¿Qué productos han visto un aumento en la demanda?1;Productos alimentarios y sanitarios;Comida y videojuegos;Productos sanitarios
Al inicio de la pandemia, la economía general cayó en tres meses de un 3,3% hasta…3;-3%;-1,1%;-4,6%
¿Quiénes son los únicos profesionales que no tuvieron impacto al inicio de la pandemia?1;Los astronautas;Los prisioneros;Los repartidores
¿Cómo ahorrar un poco de dinero durante el confinamiento para Navidad?1;Hay que decir a los niños que Papá Noel no pudo sobrevivir a la pandemia;Hay que decir a los niños que la Navidad se ha suspendido debido al confinamiento;Hay que ocultar el calendario a los niños
