Qu’est-ce qui est moins cher pour un pays en pandémie?2;Vacciner les gens;Ne pas vacciner les gens;Vacciner partiellement les gens
Qu’est-ce qu’on considère à l’heure d’examiner l’efficacité d’un vaccin?2;Les cas positifs après la vaccination;Les morts après la vaccination;Les sequelles après la vaccination
Quelle est la durée de temps après vaccination pour tester son efficacité?3;7 jours;10 jours;14 jours
Comment l’économie globale a-t-elle varié en 2019?3;+3%;+2%;-1%
Comment l’économie globale a-t-elle varié en 2020?3;+3,1%;+3%;-1%
Le trading mondial a __ à partir du confinement3;augmenté de 2,4%;augmenté de 1,2%;augmenté de 3,4%
Quelle a été l’inflation globale annuelle en 2019?3;4,2%;2,1%;1,3%
Quel gouvernent a eu le plus de dette publique en 2019?3;Le Japon;L’Argentine;Le Venezuela
L’inflation en Chine est passée d’environ 2% à environ…en seulement 3 mois de pandémie?3;5%;3%;7%
Tous les pays ont vécu une augmentation d’inflation et réduction de gain d’argent à cause de la pandémie?;Non;Oui;Oui, sauf la Chine
Quels secteurs ont le plus bénéficié de la pandémie?3;Le secteur de la santé, l’industrie chimique, l’industrie automobile, et le secteur de la créativité comme TikTok;L’industrie chimique, l’industrie automobile, et le secteur de la créativité comme TikTok;Le secteur de la santé, industrie des aliments, et l’industrie de boissons
Quels secteurs ont le plus souffert de la pandémie?2;Le tourisme, l’hôtellerie, et l’aviation;Le tourisme, l’aviation, et la santé;L’aviation, la santé, et le transport
A-t-on augmenté ou diminué la pollution pendant la pandémie?1;On l’a diminué;Aucune des deux;On l’a augmenté
Quels sont les effets environnementaux positifs de la pandémie, une fois que l’économie a stagné?2;L’air est devenu moins pollué;Les déchets domestiques ont diminué;La surconsommation s’est atténuée
Quels sont les effets environnementaux négatifs de la pandémie, une fois que l’économie a stagné?;Plus de déchets médicaux;L’air est devenu plus pollué;Surconsommation d’éléctricité
A-t-on créé des nouvelles sources de pollution pendant la pandémie?1;Oui;Non;Non, sauf les déchets des masques
Y a-t-il des pays qui ne sont pas endettés à cause de la pandémie?1;Non;Oui, surtout la Chine;Oui
Quel est le facteur principal qui empire la dette publique pendant le confinement?2;Le manque de mouvement de gens;Le manque d’infrastructure;L’augmentation des morts
Quel a été l’impact du confinement sur l’industrie du papier de toilette?1;Elle a énormément grandit;Elle a diminué;Elle est restée stable
A-t-on arrêté de produire de millionnaires pendant la pandémie?1;Non;Oui;Oui, on a vécu une diminution drastique des nouveaux milliardaires
Quel est le premier pays à vacciner contre la COVID-19?1;La Chine;L’Allemagne;L’Amérique
Quelle est la plus grosse campagne mondiale de vaccination?2;La COVID-19;L’influenza;L’ébola
Qu’est ce qui donne plus de résultats à un prix plus bas?2;Acheter un masque normal et un désinfectant pour les mains;Acheter un masque chirurgical;Acheter un désinfectant pour les mains et des lunettes
Quels étaient les plus gros défis des compagnies durant la pandémie?2;Les nouvelles conditions de travail en pandémie et la diminution drastique du transport;Les nouvelles conditions de travail en pandémie et la diminution de l’efficacité du travail à domicile;Les nouvelles conditions de travail en pandémie et la diminution drastique d’heures de travail
Pourquoi beaucoup de produits de première nécessité comme le papier de toilette n’ont pas été touchés par des prix exorbitants en pandémie?2;Grâce à l’intervention gouvernementale;Grâce à l’excès du stock;Grâce à la stabilisation de la demande
Quel type de pays ont été plus fragilisés par la pandémie?2;Exportateurs;Importateurs;Les deux
Quels produits ont eu une hausse en demande?1;Les aliments et les produits sanitaires;Les aliments et jeux vidéos;Les produits sanitaires
Au début de la pandémie, l’économie globale a chuté en trois mois de 3,3% à…3;-3%;-1,1%;-4,6%
Quels sont les seuls professionnels qui n’ont pas eu d’impact au début de la pandémie?1;Les austronautes;Les prisonniers;Les livreurs
Comment économiser un peu d’argent en confinement pour Noël?1;Il faut annoncer aux enfants que le père Noël n’a pas pu survivre à la pandémie;Il faut annoncer aux enfants que Noël a été suspendu à cause du confinement;Il faut cacher le calendrier aux enfants
