Hva er billigere for et land i pandemi?2;Vaksinerer folk;Vaksinerer ikke folk;Delvis vaksinerer folk
Hva tenker vi på når vi undersøker effektiviteten til en vaksine?2;Positive tilfeller etter vaksinasjon;Dødsfall etter vaksinasjon;Bivirkninger etter vaksinasjon
Hvor lang tid tar det etter vaksinasjon å teste effektiviteten?3;7 dager;10 dager;14 dager
Hvordan endret verdensøkonomien seg i 2019?3;+3%;+2%;-1%
Hvordan endret verdensøkonomien seg i 2020?3;+3,1%;-1%;+3%
Global handel __ fra innesperring3;økt med 2,4%;økt med 3,4%;økt med 1,2%
Hva var den årlige globale inflasjonen i 2019?3;4,2%;2,1%;1,3%
Hvilken regjering hadde mest offentlig gjeld i 2019?3;Japan;Argentina;Venezuela
Inflasjonen i Kina gikk fra rundt 2% til rundt __ på bare 3 måneder etter pandemien?3;5%;3%;7%
Har alle land opplevd en økning i inflasjon og en reduksjon i pengegevinster på grunn av pandemien?3;Nei;Ja;Ja, bortsett fra Kina
Hvilke sektorer har hatt størst fordel av pandemien?3;Helsesektoren, kjemisk industri, bilindustrien og kreativitetssektoren som TikTok;Den kjemiske industrien, bilindustrien og kreativitetssektoren som TikTok;Helsesektoren, næringsmiddelindustrien, bygg og anlegg og drikkevareindustrien
Hvilke sektorer har lidd mest av pandemien?2;Turisme, gjestfrihet og luftfart;Reiseliv, luftfart og helse;Luftfart, helse og transport
Har forurensningen økt eller redusert under pandemien?1;Det har avtatt;Ingen;Det har økt
Hva er de positive miljøeffektene av pandemien når økonomien har frosset?2;Luften er blitt mindre forurenset;Overforbruket har gått ned;Daglig avfall har gått ned
Hva er de negative miljøeffektene av pandemien når økonomien har frosset?2;Mer medisinsk avfall;Luften er blitt mer forurenset;Overdreven strømforbruk
Har vi skapt nye forurensningskilder under pandemien?1;Ja;Nei;Nei, bortsett fra maskeavfall
Er det land som ikke er i gjeld på grunn av pandemien?1;Nei;Ja;Ja, spesielt Kina
Hva er hovedfaktoren som forverrer offentlig gjeld under fengsel?2;Mangel på bevegelse av mennesker;Mangelen på infrastruktur;Økningen i dødsfall
Hva var virkningen av lockdown på toalettpapirindustrien?1;Bransjen har vokst enormt;Bransjen har gått ned;Næringen har holdt seg stabil
Har vi sluttet å produsere millionærer under pandemien?1;Nei;Ja;Ja, vi har opplevd en drastisk reduksjon i nye millionærer
Hvilket land er det første som vaksinerer mot COVID-19?1;Kina;USA;Tyskland
Hva er den største globale vaksinasjonskampanjen?2;COVID-19;Influensa;Ebola
Hva gir flere resultater til en lavere pris?2;Kjøp en vanlig maske og hånddesinfeksjon;Kjøp en kirurgisk maske;Kjøp hånddesinfeksjon og vernebriller
Hva var de største utfordringene for etterspurte varebedrifter?2;De nye arbeidsforholdene under pandemien og den drastiske reduksjonen i transport;De nye arbeidsforholdene under pandemien og ineffektiviteten ved å jobbe hjemmefra;De nye arbeidsforholdene under pandemien og den drastiske arbeidstidsreduksjonen
Hvorfor nådde mange svært etterspurte produkter, som toalettpapir, ikke ublu priser under pandemien?2;Takket være statlig inngripen;Takket være overflødig lager;Takket være stabiliseringen av etterspørselen
Hvilke typer land har blitt mest svekket av pandemien?2;Eksportører;Importører;Både
Hvilke produkter har hatt en økning i etterspørselen?1;Mat og helseprodukter;Helseprodukter;Mat og videospill
Ved begynnelsen av pandemien falt den globale økonomien med 3,3% på tre måneder til…3;-3%;-1,1%;-4,6%
Hvem er de eneste fagpersonene som ikke hadde noen innvirkning i begynnelsen av pandemien?1;Astronautene;Fangene;Leveringsmennene
Hvordan spare penger under lockdown til jul?1;Barn må få beskjed om at julenissen ikke kunne overleve pandemien;Barn må få beskjed om at julen er avbrutt på grunn av innesperring;Kalenderen må være skjult for barn
