Wat is goedkoper voor een land tijdens de pandemie?2;Mensen vaccineren;Mensen zijn gedeeltelijk gevaccineerd;Vaccineer mensen niet
Waar houden we rekening mee bij het testen van de effectiviteit van een vaccin?2;Positieve gevallen na vaccinatie;Sterfgevallen na vaccinatie;Bijwerkingen na vaccinatie
Hoe lang duurt het na vaccinatie voordat de effectiviteit wordt getest?3;7 dagen;10 dagen;14 dagen
Hoe veranderde de wereldeconomie in 2019?3;+3%;-1%;+2%
Hoe veranderde de wereldeconomie in 2020?3;-1%;+3%;+3,1%
Wereldhandel __ uit lockdown3;met 2,4% gestegen;met 1,2% gestegen;met 3,4% gestegen
Wat was de jaarlijkse mondiale inflatie in 2019?3;4,2%;2,1%;1,3%
Welke regering had de hoogste staatsschuld in 2019?3;Japan;Argentinië;Venezuela
Is de inflatie in China in slechts drie maanden na de pandemie gestegen van ongeveer 2% naar ongeveer?3;5%;3%;7%
Hebben alle landen als gevolg van de pandemie een stijging van de inflatie en een daling van de monetaire winsten ervaren?3;Nee;Ja;Ja, behalve China
Welke industrieën hebben het meeste geprofiteerd van de pandemie?3;De zorgsector, de chemische industrie, de auto-industrie, en de creatieve sector zoals TikTok;De zorgsector, de voedingsmiddelenindustrie, en de drankenindustrie;De chemische industrie, de auto-industrie, en de creatieve industrie zoals TikTok
Welke industrieën hebben het meest geleden onder de pandemie?2;Toerisme, horeca en luchtvaart;Toerisme, luchtvaart en gezondheidszorg;Luchtvaart, gezondheidszorg en transport
Is de vervuiling tijdens de pandemie toegenomen of afgenomen?1;Het is afgenomen;Het is toegenomen;Geen van beide
Welke positieve gevolgen voor het milieu zal de pandemie hebben als de economie eenmaal bevroren is?2;De lucht is minder vervuild;Het huishoudelijk afval is afgenomen;De overconsumptie is afgenomen
Welke negatieve gevolgen voor het milieu zal de pandemie hebben als de economie eenmaal bevroren is?2;Meer medisch afval;De lucht is meer vervuild;Overmatig stroomverbruik
Hebben we tijdens de pandemie nieuwe bronnen van vervuiling gecreëerd?1;Ja;Nee;Nee, behalve maskerafval
Zijn er landen die geen schulden hebben door de pandemie?1;Nee;Ja;Ja, vooral China
Wat is de belangrijkste factor die de staatsschuld verergert tijdens de lockdown?2;Het gebrek aan beweging van mensen;Het gebrek aan infrastructuur;De toename van het aantal sterfgevallen
Welke impact had de lockdown op de toiletpapierindustrie?1;De industrie is enorm gegroeid;De industrie is gekrompen;De sector is stabiel gebleven
Zijn we tijdens de pandemie gestopt met het produceren van miljonairs?1;Nee;Ja;Ja, we hebben een drastische daling gezien in het aantal nieuwe miljonairs
Welk land is het eerste land dat vaccineert tegen COVID-19?1;China;Verenigde Staten;Duitsland
Wat is de grootste wereldwijde vaccinatiecampagne?2;COVID 19;Griep;Ebola
Wat levert meer resultaat op voor een lagere prijs?2;Koop een gewoon masker en handdesinfecterend middel;Koop een chirurgisch masker;Koop handdesinfecterend middel en een veiligheidsbril
Wat zijn de grootste uitdagingen geweest voor bedrijven op het gebied van vraaggoederen?2;De nieuwe arbeidsomstandigheden tijdens de pandemie en de drastische vermindering van het transport;De nieuwe arbeidsomstandigheden tijdens de pandemie en de inefficiëntie van thuiswerken;De nieuwe arbeidsomstandigheden tijdens de pandemie en de drastische verkorting van de werkuren
Waarom zijn veel producten waar veel vraag naar is, zoals toiletpapier, er tijdens de pandemie niet in geslaagd exorbitant hoge prijzen te realiseren?2;Dankzij overheidsingrijpen;Dankzij overstock;Dankzij de stabilisatie van de vraag
Welke landen zijn het meest verzwakt door de pandemie?2;Exporteurs;Importeurs;Beide
Naar welke producten is de vraag toegenomen?1;Voedsel- en gezondheidsproducten;Gezondheidsproducten;Eten en videogames
Bij het begin van de pandemie kromp de wereldeconomie binnen drie maanden met 3,3% om…3;-3%;-1,1%;-4,6%
Wie zijn de enige professionals die geen invloed hadden bij het begin van de pandemie?1;De astronauten;De gevangenen;De bezorgers
Hoe kun je deze kerst wat geld besparen tijdens de lockdown?1;De kinderen moeten te horen krijgen dat de Kerstman de pandemie niet kan overleven;De kinderen moeten ervan op de hoogte worden gebracht dat Kerstmis is opgeschort vanwege de uitreisbeperkingen;De kalender moet voor kinderen verborgen worden gehouden
