Welche Altersgruppe ist am stärksten von Ausgangsbeschränkungen betroffen?1;Über 70 Jahre alt;Unter 20 Jahre alt;Kinder zwischen 5 und 10 Jahren
Wo wurde der erste Fall von Coronavirus registriert?2;Saudi-Arabien;China;Südafrika
In welchem ​​Jahr wurde der erste Sarscov gefunden?3;In 2003;Im Jahr 1999;Im Jahr 1956
Welches dieser Viren ist kein Coronavirus?2;HCo-HwKU1;HCoV-NL63;HCoV-HKU1
Ist Sarscov aus einem Labor geflohen?1;Nein;Ja;Vielleicht
Gab es schon einmal Viren, die aus Laboren entwichen sind?2;Ja;Nein;Vielleicht
Gab es jemals vom Menschen verursachte Pandemien oder Epidemien?2;Nein;Ja;Vielleicht
Warum der Name Coronavirus?1;Das Virus zeichnet sich dadurch aus, dass es eine Kronenform hat;Das Virus stammt aus einer alten Virenfamilie, daher der Name Corona=Folge;Das Virus wurde zeitgleich mit Corona-Bier entdeckt
Was ist der Ursprung des Wortes Coronavirus auf Englisch?2;Es wurde direkt vom lateinischen Wort abgeleitet, welches „Krone“ bedeutet;Wurde direkt vom spanischen Wort für „Krone“ übernommen;Es wurde direkt vom griechischen Wort abgeleitet, welches „Krone“ bedeutet
Was ist die Etymologie des Wortes Coronavirus?3;Corona leitet sich vom altgriechischen κορώνη (korōnè) ab und bedeutet „Girlande“ oder „Krone“;Corona leitet sich vom protoindogermanischen κορώνη (korōnè) ab und bedeutet „Girlande“ oder „Krone“;Corona leitet sich vom lateinischen Wort κορώνη (korōnè) ab und bedeutet „Girlande“ oder „Krone“
Was ist der wichtigste Weg, eine Pandemie zu kontrollieren?2;Internationale Kooperation;Transparente Kommunikation;Beachte die Regeln
Kann das Virus über die Augen übertragen werden?3;Nein, das Virus kann im Bindegewebe der Augen vorhanden sein und nicht auf der Oberfläche;Ja;Ja, aber nur im Pupillenbereich
Ist es sinnvoll, die Wohnung zu lüften, um das Virus zu bekämpfen?3;Ja;Nein, es erhöht das Einströmen von Außenverschmutzung;Ja, aber wenn Sie eine Maske tragen
Wer erwischt Sarscov eher, ein Mann oder eine Frau?2;Ein Mann;Beide gleichermaßen;Eine Frau
Wer hat ein höheres Risiko, Merscov zu bekommen, Mann oder Frau?1;Ein Mann;Eine Frau;Beide gleichermaßen
Welche Blutgruppe ist am anfälligsten für das Virus?3;A;B;0
Welche Blutgruppe ist am besten vor dem Virus geschützt?3;0;A;B
Kann das Virus von der Mutter auf das Baby übertragen werden?1;Nein;Ja;Ja, aber abhängig vom Zeitpunkt der Schwangerschaft
Befällt das Virus sowohl Kinder als auch Erwachsene?2;Ja, aber in den meisten Fällen entwickeln sie keine Symptome, weil ihnen die Biomarker fehlen, die Erwachsene für das Virus benötigen;Ja, aber sie entwickeln nie Symptome;Nein
Sind Kinder gute Überträger von Viren?1;Ja;Nein;Nein, aber Sie können es verwenden
Das Virus kann vorhanden sein…1;im Speichel;in den Augen;in der Atmung
Welches ist der Ursprung des Wortes Quarantäne?1;Italienisch;Spanisch;Griechisch
Wann gab es die erste dokumentierte Quarantäne in der Geschichte?3;1377;1789;1934
Wo war die erste Quarantäne der Welt?3;Kroatien;Italien;China
Wie lange dauert die Quarantäne wirklich?1;40 Tage;30 Tage;15 Tage
Adoption von Haustieren während der Pandemie…1;ist angestiegen;hat abgenommen;hat sich nicht verändert
Wenn wir Kontakt zu jemandem hatten, der positiv auf Covid getestet wurde, wie lange wird die Isolation nach dieser Entdeckung empfohlen?2;14 Tage;10 Tage;7 Tage
Bei welchen Körperflüssigkeiten besteht ein hohes Ansteckungsrisiko?2;Sekrete der Atemwege, Blut, Erbrochenes, Speichel, Urin und Kot;Sekrete der Atemwege, Blut, Speichel und Urin;Sekrete der Atemwege, Blut, Erbrochenes, Speichel, Urin, Kot und Tränen
Was sind die sichersten Kontakte mit jemandem, der an COVID-19 erkrankt ist?2;Teilen Sie den gleichen Arbeitsplatz oder die gleichen öffentlichen Verkehrsmittel;Teilen Sie eine Mahlzeit;Berühren Sie die Person, während Sie eine Maske tragen
Was sind die risikoreichsten Kontakte mit jemandem, der an COVID-19 erkrankt ist?2;Berühren oder Reinigen der Bettwäsche, Kleidung oder des Geschirrs des Patienten;Reinigen Sie die Schuhe des Patienten;Verbrennen Sie die Masken des Patienten
Was ist die beste Lösung, um keine Angst mehr vor der Coronavirus-Epidemie zu haben und weiterhin normal zu leben?1;Schalte den Fernseher aus;Sport treiben;Rauch
Welche Fernsehsender könnten verloren gehen, wenn Sie Ihren Fernseher mit Desinfektionsgel reinigen?1;CNN;Discovery Channel;National Geographic
Wie können wir uns während des Lockdowns auf die Waage bringen und positiv bleiben?1;Sie müssen sich mit einem Haustier auf der Waage wiegen und sagen, dass der Gewichtsunterschied die Schuld des Haustieres ist;Sie müssen sich mit geschlossenen Augen wiegen;Vor dem Wiegen ist es notwendig, die Waage umzudrehen
