¿Qué grupo de edad es más vulnerable a las medidas de confinamiento?1;Mayores de 70 años;Niños entre 5 y 10 años;Menores de 20 años
¿Dónde se registró el primer caso de coronavirus?2;Arabia Saudita;China;Sudáfrica
¿En qué año se encontró el primer Sarscov?3;En 2003;En 1999;En 1956
¿Cuál de estos virus no es un coronavirus?2;HCo-HwKU1;HCoV-NL63;HCoV-HKU1
¿Sarscov se escapó de un laboratorio?1;No;Sí;Puede ser
¿Ha habido alguna vez un virus que se haya escapado de los laboratorios?2;Sí;Puede ser;No
¿Ha habido alguna vez pandemias o epidemias provocadas por el hombre?2;No;Sí;Puede ser
¿Por qué el nombre de coronavirus?1;Porque el virus se caracteriza por tener forma de corona;Porque el virus proviene de una antigua familia de virus, de ahí el nombre corona=corolario;Porque el virus se descubrió al mismo tiempo que la cerveza corona
¿Cuál es el origen de la palabra coronavirus en inglés?2;Fue tomado directamente de la palabra latina que significa "corona";Fue tomado directamente de la palabra española para "corona";Fue tomado directamente de la palabra griega que significa "corona"
¿Cuál es la etimología de la palabra coronavirus?3;Corona se deriva del griego antiguo κορώνη (korōnè), que significa "guirnalda" o "corona";Corona se deriva del protoindoeuropeo κορώνη (korōnè), que significa "guirnalda" o "corona";Corona se deriva de la palabra latina κορώνη (korōnè), que significa "guirnalda" o "corona"
¿Cuál es la forma más importante de controlar una pandemia?2;Cooperación internacional;Comunicación transparente;Seguir las reglas
¿Se puede transmitir el virus a través de los ojos?3;No, el virus puede estar presente en el tejido conectivo de los ojos y no en la superficie;Sí;Sí, pero sólo en la pupila
¿Es útil ventilar el hogar para combatir el virus?3;Sí;No, aumenta la entrada de contaminación externa;Sí, pero si llevas barbijo
¿Quién tiene más probabilidades de contraer Sarscov, el hombre o la mujer?2;Un hombre;Una mujer;Ambos por igual
¿Quién tiene más probabilidades de tener Merscov, hombre o mujer?1;Un hombre;Una mujer;Ambos por igual
¿Cuál es el tipo de sangre más vulnerable al virus?3;A;B;0
¿Qué grupo sanguíneo está más protegido contra el virus?3;0;A;B
¿Se puede transmitir el virus de madre a bebé?1;No;Sí;Sí, pero dependiendo del momento del embarazo
¿El virus infecta tanto a niños como a adultos?2;Sí, pero en la mayoría de los casos no desarrollan síntomas porque no tienen los biomarcadores que los adultos necesitan para el virus;Sí, pero nunca desarrollan síntomas;No
¿Son los niños buenos vectores de virus?1;Sí;No;No, pero pueden usarlo
El virus puede estar presente en…1;la saliva;los ojos;la respiración
¿Cuál es el origen de la palabra cuarentena?1;Italiano;Español;Griego
¿Cuándo fue la primera cuarentena documentada de la historia?3;1377;1789;1934
¿Dónde fue la primera cuarentena del mundo?3;Croacia;Italia;China
¿Cuánto dura realmente la cuarentena?1;40 días;30 dias;15 días
La adopción de mascotas durante la pandemia…1;ha aumentado;ha disminuido;no cambió
Si hemos estado en contacto con alguien que dio positivo en covid, ¿cuál es la duración recomendada del aislamiento tras este descubrimiento?2;14 dias;10 días;7 días
¿Qué fluidos corporales presentan un alto riesgo de contagio?2;Secreciones del tracto respiratorio, sangre, vómito, saliva, orina y heces;Secreciones del tracto respiratorio, sangre, saliva y orina;Secreciones del tracto respiratorio, sangre, vómito, saliva, orina, heces y lágrimas
¿Cuáles son los contactos más seguros con alguien que tiene COVID-19?2;Compartir el mismo espacio de trabajo o transporte público;Compartir una comida;Tocar la persona mientras usas una máscara
¿Cuáles son los contactos de mayor riesgo con alguien que tiene COVID-19?2;Tocar o limpiar la ropa de cama, la ropa o los platos del paciente;Limpiar los zapatos del paciente;Quemar las máscaras del paciente
¿Cuál es la mejor solución para dejar de temer a la epidemia de coronavirus y seguir viviendo con normalidad?1;Apagar la televisión;Hacer deporte;Fumar
¿Qué canales de televisión podrían perderse si limpias tu televisor con gel desinfectante?1;CNN;Discovery Channel;National Geographic
¿Cómo podemos pesarnos en la balanza durante el confinamiento y mantenernos positivos?1;Hay que pesarse con una mascota para decir que fue él quien hizo variar el peso;Es necesario dar vuelta la balanza antes de pesarse;Debes pesarte con los ojos cerrados
