Hvilken aldersgruppe er mest berørt av utreisebegrensninger?1;Over 70 år gammel;Barn mellom 5 og 10 år;Under 20 år gammel
Hvor ble det første tilfellet av koronavirus registrert?2;Saudi-Arabia;Sør-Afrika;Kina
I hvilket år ble den første Sarscov funnet?3;I 2003;I 1999;I 1956
Hvilket av disse virusene er ikke et koronavirus?2;HCo-HwKU1;HCoV-NL63;HCoV-HKU1
Rømte Sarscov fra et laboratorium?1;Nei;Ja;Kan være
Har virus noen gang rømt fra laboratorier?2;Ja;Kan være;Nei
Har det noen gang vært menneskeskapte pandemier eller epidemier?2;Nei;Ja;Kan være
Hvorfor navnet koronavirus?1;Viruset er preget av sin kroneform;Fordi viruset kommer fra en gammel familie av virus, derav navnet Corona;Fordi viruset ble oppdaget samtidig med Corona-øl
Hva er opprinnelsen til ordet coronavirus på engelsk?2;Det er direkte avledet fra det latinske ordet som betyr "krone";er hentet direkte fra det spanske ordet for "krone";Det er direkte avledet fra det greske ordet som betyr "krone"
Hva er etymologien til ordet koronavirus?3;Corona er avledet fra det gamle greske κορώνη (korōnè) og betyr "krans" eller "krone";Corona er avledet fra den proto-indoeuropeiske κορώνη (korōnè) og betyr "krans" eller "krone";Corona er avledet fra det latinske ordet κορώνη (korōnè) og betyr "krans" eller "krone"
Hva er den viktigste måten å kontrollere en pandemi på?2;Internasjonalt samarbeid;Transparent kommunikasjon;Følg reglene
Kan viruset overføres gjennom øynene?3;Nei, viruset kan være tilstede i øyets bindevev og ikke på overflaten;Ja;Ja, men bare i pupilleområdet
Er det fornuftig å ventilere leiligheten for å bekjempe viruset?3;Ja;Nei, det øker inntoget av ekstern forurensning;Ja, men hvis du bruker maske
Hvem er det mest sannsynlig at Sarscov fanger: en mann eller en kvinne?2;En mann;En kvinne;Begge likt
Hvem har størst risiko for å få Merscov, mann eller kvinne?1;En mann;En kvinne;Begge likt
Hvilken blodgruppe er mest utsatt for viruset?3;A;B;0
Hvilken blodgruppe er best beskyttet mot viruset?3;0;A;B
Kan viruset overføres fra mor til baby?1;Nei;Ja;Ja, men avhengig av tidspunktet for graviditeten
Påvirker viruset både barn og voksne?2;Ja, men i de fleste tilfeller utvikler de ikke symptomer fordi de ikke har biomarkørene som voksne trenger for viruset;Ja, men de utvikler aldri symptomer;Nei
Er barn gode bærere av virus?1;Ja;Nei;Nei, men du kan bruke den
Viruset kan være tilstede i…1;spyttet;øynene;pusten
Hva er opprinnelsen til ordet karantene?1;Italiensk;Spansk;Gresk
Når var den første dokumenterte karantenen i historien?3;1377;1789;1934
Hvor var verdens første karantene?3;Kroatia;Kina;Italia
Hvor lenge varer egentlig karantenen?1;40 dager;30 dager;15 dager
Adoptere kjæledyr under pandemien…1;har økt;har gått ned i vekt;endret seg ikke
Hvis vi har vært i kontakt med noen som har testet positivt for Covid, hvor lenge anbefales isolasjon etter denne oppdagelsen?2;14 dager;10 dager;7 dager
Hvilke kroppsvæsker utgjør en høy risiko for infeksjon?2;Respirasjonssekret, blod, oppkast, spytt, urin og avføring;Respirasjonssekret, blod, spytt og urin;Respirasjonssekret, blod, oppkast, spytt, urin, avføring og tårer
Hva er de tryggeste kontaktene med noen som har covid-19?2;Dele samme arbeidsplass eller kollektivtransport;Del et måltid;Ta på personen mens du bærer en maske
Hva er de risikofylte kontaktene med noen som har covid-19?2;Berøring eller rengjøring av pasientens sengetøy, klær eller servise;Rengjør pasientens sko;Brenn pasientens masker
Hva er den beste løsningen for å slutte å være redd for koronavirusepidemien og fortsette å leve normalt?1;Slå av TV-en;Å trene;Røyk
Hvilke TV-kanaler kan gå tapt hvis du rengjør TV-en med desinfiserende gel?1;CNN;Discovery Channel;National Geographic
Hvordan kan vi balansere oss selv og være positive under lockdownen?1;Du må veie deg med et kjæledyr på vekten og si at vektforskjellen er kjæledyrets feil;Du bør veie deg med lukkede øyne;Før veiing, snu vekten
