Welke leeftijdsgroep wordt het meest getroffen door uitstapbeperkingen?1;Ruim 70 jaar oud;Kinderen tussen 5 en 10 jaar oud;Onder de 20 jaar oud
Waar werd het eerste geval van coronavirus geregistreerd?2;Saoedi-Arabië;China;Zuid-Afrika
In welk jaar werd de eerste Sarscov gevonden?3;In 2003;In 1999;In 1956
Welk van deze virussen is geen coronavirus?2;HCo-HwKU1;HCoV-NL63;HCoV-HKU1
Is Sarscov ontsnapt uit een laboratorium?1;Nee;Ja;Misschien
Zijn er ooit virussen uit laboratoria ontsnapt?2;Ja;Misschien;Nee
Zijn er ooit door de mens veroorzaakte pandemieën of epidemieën geweest?2;Nee;Ja;Misschien
Waarom de naam coronavirus?1;Het virus kenmerkt zich doordat het een kroonvorm heeft;Omdat het virus uit een oude familie van virussen komt, vandaar de naam Corona=Gevolg;Omdat het virus tegelijk met Corona-bier werd ontdekt
Wat is de oorsprong van het woord coronavirus in het Engels?2;Het is rechtstreeks afgeleid van het Latijnse woord dat ‘kroon’ betekent;Het is rechtstreeks afgeleid van het Griekse woord dat ‘kroon’ betekent;is rechtstreeks overgenomen van het Spaanse woord voor ‘kroon’
Wat is de etymologie van het woord coronavirus?3;Corona is afgeleid van het oudgriekse κορώνη (korōnè) en betekent “slinger” of “kroon”;Corona is afgeleid van het Proto-Indo-Europese κορώνη (korōnè) en betekent “slinger” of “kroon”;Corona is afgeleid van het Latijnse woord κορώνη (korōnè) en betekent “slinger” of “kroon”
Wat is de belangrijkste manier om een ​​pandemie onder controle te krijgen?2;Internationale samenwerking;Transparante communicatie;Volg de regels
Kan het virus via de ogen worden overgedragen?3;Nee, het virus kan aanwezig zijn in het bindweefsel van de ogen en niet op het oppervlak;Ja, maar alleen in het pupilgebied;Ja
Heeft het zin om het appartement te ventileren om het virus te bestrijden?3;Ja;Nee, het vergroot de toegang van externe vervuiling;Ja, maar als je een masker draagt
Wie zal Sarscov eerder betrappen: een man of een vrouw?2;Een man;Een vrouw;Beide evenveel
Wie loopt een groter risico om Merscov te krijgen, man of vrouw?1;Een man;Een vrouw;Beide evenveel
Welke bloedgroep is het meest vatbaar voor het virus?3;A;B;0
Welke bloedgroep is het beste beschermd tegen het virus?3;0;A;B
Kan het virus van moeder op baby worden overgedragen?1;Nee;Ja;Ja, maar afhankelijk van het tijdstip van de zwangerschap
Heeft het virus invloed op zowel kinderen als volwassenen?2;Ja, maar in de meeste gevallen ontwikkelen ze geen symptomen omdat ze niet over de biomarkers beschikken die volwassenen nodig hebben voor het virus;Ja, maar ze ontwikkelen nooit symptomen;Nee
Zijn kinderen goede dragers van virussen?1;Ja;Nee;Nee, maar je kunt het wel gebruiken
Het virus kan aanwezig zijn in…1;het spuug;de ogen;de ademhaling
Wat is de oorsprong van het woord quarantaine?1;Italiaans;Spaans;Grieks
Wanneer was de eerste gedocumenteerde quarantaine in de geschiedenis?3;1377;1789;1934
Waar was de eerste quarantaine ter wereld?3;Kroatië;China;Italië
Hoe lang duurt quarantaine echt?1;40 dagen;30 dagen;15 dagen
Huisdieren adopteren tijdens de pandemie…1;is toegenomen;is afgevallen;is niet veranderd
Als we in contact zijn geweest met iemand die positief is getest op Covid, hoe lang wordt isolatie dan aanbevolen na deze ontdekking?2;14 dagen;10 dagen;7 dagen
Welke lichaamsvloeistoffen vormen een hoog risico op infectie?2;Respiratoire secreties, bloed, braaksel, speeksel, urine en ontlasting;Afscheidingen uit de luchtwegen, bloed, braaksel, speeksel, urine, uitwerpselen en tranen;Ademhalingsafscheidingen, bloed, speeksel en urine
Wat zijn de veiligste contacten met iemand die COVID-19 heeft?2;Deel dezelfde werkplek of openbaar vervoer;Deel een maaltijd;Raak de persoon aan terwijl u een masker draagt
Wat zijn de risicovolle contacten met iemand die COVID-19 heeft?2;Het beddengoed, de kleding of de vaat van de patiënt aanraken of schoonmaken;Maak de schoenen van de patiënt schoon;Verbrand de maskers van de patiënt
Wat is de beste oplossing om niet langer bang te zijn voor de coronavirusepidemie en normaal te blijven leven?1;Zet de tv uit;Om te sporten;Rook
Welke tv-zenders gaan mogelijk verloren als je je tv schoonmaakt met desinfecterende gel?1;CNN;Discovery Channel;Nationaal Geografic
Hoe kunnen we onszelf in evenwicht brengen en positief blijven tijdens de lockdown?1;Je moet jezelf met een huisdier op de weegschaal wegen en zeggen dat het gewichtsverschil de schuld van het huisdier is;Je moet jezelf wegen met je ogen dicht;Voordat u gaat wegen, moet u de weegschaal omdraaien
