Welke cellen zijn verantwoordelijk voor het bestrijden van ziekteverwekkers die het lichaam binnendringen?3;T-lymfocyten;C-lymfocyten;Witte bloedcellen
Kan een vaccin ons DNA veranderen?3;Nee;Ja;Ja, maar alleen een RNA-vaccin
Waarom moet het coronavirus een gastheercel infecteren om zich voort te planten?2;Omdat het geen eigen vertaalmachine heeft om te reproduceren;Omdat het geen eigen DNA heeft om zich voort te planten;Omdat het geen eigen RNA heeft om zich voort te planten
Wat zijn de belangrijkste soorten vaccins?3;Levende verzwakte vaccins, conjugaatvaccins, geïnactiveerde vaccins en toxoïdevaccins;Levende verzwakte vaccins, geïnactiveerde vaccins en toxoïdevaccins;Verzwakte vaccins, conjugaatvaccins, geïnactiveerde vaccins en toxoïdevaccins
Wat is de definitie van een vaccin?3;Biologische geneesmiddelen die adaptieve immuniteit bieden tegen bepaalde ziekten;Biologisch product dat aanpassing aan een specifieke ziekte mogelijk maakt;Biologisch product dat immuniteit biedt tegen bepaalde ziekten
Welke soorten screeningstesten zijn er?2;Directe test (detectie van het virale genoom) en indirecte test (beoordeling van serumantilichaamniveaus);Bloedonderzoek en speekselonderzoek;Ademtest en antilichaamtest
Helpt roken bij een virusinfectie?2;Nee;Ja;Ja, maar alleen voor voormalige rokers van wie de longwanden al bedekt zijn met slijm
Wie loopt een groter risico op het ontwikkelen van een virale infectie: een voormalig roker of een huidige roker?2;Beide evenveel;Voormalig roker;Huidige roker
Hoe groot is de relatie tussen een virus en een menselijke cel?1;Menselijke cellen zijn 100 tot 1000 keer groter dan virussen;Menselijke cellen zijn 10 tot 100 keer groter dan virussen;Menselijke cellen zijn 2 tot 3 keer groter dan virussen
Hoe is het genoom van virussen samengesteld?2;DNA of RNA;DNA;RNA
Wat is groter: een virus of een bacterie?2;Bacteriën (gemiddeld ongeveer duizend keer groter);Virussen (gemiddeld ongeveer twee keer zo groot);Beide kunnen verschillende maten hebben en behoorlijk op elkaar lijken
Wat is een capside?3;Eiwitmantel van het virus;Peptidedekking van viraal DNA;Viraal membraan
Waaruit bestaat het virusnucleocapside?3;Capside en nucleïnezuur;Capside en ribonucleïnezuur (RNA);Capside en viraal genoom
Wat is de virale envelop?3;Lipidenmembraan dat afkomstig is van een van de celmembranen;Externe bescherming tegen de gastheercel;Eiwit membraan
Wat zit er in het virusmembraan?3;Nucleïnezuur en genoom;Nucleïnezuur;Nucleïnezuur en ribonicleïnezuur (DNA)
Waaruit bestaat het genoom?3;Nucleïnezuur;Ribonucleïnezuur;Gedenatureerde eiwitten
Waarom kan het virus reukverlies veroorzaken?2;Omdat het voornamelijk neus- en longepitheelcellen aanvalt;Omdat het ervoor zorgt dat de neus zich vult met slijm;Omdat het de hersencellen aanvalt die verantwoordelijk zijn voor de geur
Welke symptomen kunnen worden gebruikt om onderscheid te maken tussen een COVID-19-virusinfectie en griep?2;Moeilijkheden met ademhalen;Constante droge hoest;Hoofdpijn
Welke epidemie veroorzaakte in dezelfde periode de meeste ziekenhuisopnames?3;Covid heeft twee keer zoveel ziekenhuisopnames veroorzaakt als seizoensgriep;Seizoensgriep veroorzaakte twee keer zoveel ziekenhuisopnames als Covid;De Zwarte Pest veroorzaakte twee keer zoveel ziekenhuisopnames als Covid
Welke epidemie is dodelijker?3;Covid heeft drie keer meer sterfgevallen in ziekenhuizen veroorzaakt dan de seizoensgriep;Covid heeft twee keer zoveel ziekenhuisdoden veroorzaakt als cholera;Covid heeft drie keer meer sterfgevallen in ziekenhuizen veroorzaakt dan pokken
Is fecaal-orale overdracht van het virus mogelijk?2;Ja;Nee;Alleen onder dieren
Welk percentage van de patiënten heeft mogelijk smaak- of reukstoornissen?3;53%;21%;38%
Is het een goed idee om te huilen tijdens de pandemie?1;Nee, want tranen kunnen het virus bevatten;Ja, het uiten van gevoelens is cruciaal om onze emoties goed te kanaliseren;Nee, we moeten onze mentale kracht tonen
Is een loopneus een mogelijk symptoom van COVID-19?1;Nee;Ja;Ja, maar afhankelijk van de duur van de rivier
Welk percentage van de besmettingen vindt plaats voordat het oorspronkelijke geval (indexgeval) symptomen ontwikkelt?2;12%;3%;54%
Is keelpijn een mogelijk symptoom van COVID-19?2;Nee;Ja;Ja, maar afhankelijk van de duur
Geeft de speekseltest sneller resultaat dan de neustest?2;Nee;Ja;Nee, beide zijn ongeveer even lang
Welke test is makkelijker?2;De speekseltest;De neustest;De ademtest
Is obesitas een van de meest complicerende factoren bij het krijgen van COVID-19?2;Ja;Nee;Misschien
Is leeftijd een van de meest complicerende factoren bij het krijgen van COVID-19?2;Ja;Nee;Misschien
Is diabetes een van de meest complicerende factoren bij het krijgen van COVID-19?2;Ja;Nee;Misschien
Is hoge bloeddruk een van de meest verergerende factoren bij het krijgen van COVID-19?2;Ja;Nee;Misschien
Is etniciteit een van de meest complicerende factoren als u COVID-19 krijgt?2;Nee;Ja;Zou kunnen
Is sociale verbondenheid een van de meest complicerende factoren bij het krijgen van COVID-19?2;Nee;Ja;Misschien
