¿Qué significa “eliminación del virus” en términos epidemiológicos?2;Reducción de los casos de transmisión a un nivel predeterminado muy bajo;Reducción de casos de transmisión a 0 casos;Desaparición permanente del virus
¿Qué utilizan las vacunas contra patógenos inactivados?3;Una forma muerta del patógeno;Una forma modificada del patógeno;Una forma atenuada del patógeno
¿Qué medios se pueden utilizar para inactivar virus?1;Productos químicos, calor o radiación;Productos químicos o calor;Calor o radiación
¿Cuáles son los componentes básicos de una vacuna?3;Estabilizadores, antibióticos, conservantes, oligocomponentes, adyuvantes e ingredientes activos;Estabilizadores, antibióticos, conservantes e ingredientes activos;Estabilizadores, antibióticos y preservativos
¿Cuál es la forma más eficaz de controlar la pandemia de COVID-19 si no existe cura?2;Vacunación;Aislamiento;Higiene sanitaria
¿Qué es una vacuna vectorial?3;Vacunas diseñadas con virus inofensivos para entregar el material genético del patógeno a la célula huésped para estimular las respuestas inmunes;Vacunas diseñadas utilizando virus muertos para entregar el material genético del patógeno a las células huésped para simular respuestas inmunes;Vacunas de referencia
Si el virus está atenuado…3;todavía está vivo pero provoca una respuesta inmune débil;todavía está vivo pero está inactivo;todavía está muerto pero provoca una respuesta inmune débil
¿Cuál es la función de un laboratorio?2;El principal objetivo de un laboratorio es proporcionar resultados fiables;El objetivo principal de un laboratorio es realizar experimentos;El principal objetivo de un laboratorio es verificar hipótesis
¿Cuáles son los principales tipos de laboratorios?1;Laboratorio de química, biología, física y radiología;Laboratorio de química, biología y física;Laboratorio de química y biología
¿Es probable que los virus dieran origen a la vida?2;Sí;No;Puede ser
¿Los virus afectan a todos los organismos vivos?2;Sí;No;No, sólo organismos multicelulares
Los expertos en virus se llaman…1;virólogos;microbiologos;virologista
La ciencia de los virus se llama…1;virología;microbiología;biología
¿Cuáles son las entidades biológicas más numerosas del planeta?2;Los virus;Los humanos;Las plantas
El virus es un ser…1;vivo o no vivo;sin vida;vivo
¿Nuestro código genético está compuesto de qué porcentaje de origen viral?2;Alrededor del 10%;Alrededor del 2%;Alrededor del 1%
¿Cuál es el primer coronavirus del que tenemos evidencia?3;B814;SarsCov-00;MersCov-00
¿Qué idioma se utiliza para comunicar nombres científicos?2;Latín;Inglés;Español
¿Por qué los nombres científicos se comunican en latín?2;Ninguna razón en particular;Principio preestablecido por los nobles del Renacimiento;Porque el latín fue durante mucho tiempo la lengua del conocimiento científico
¿Qué caligrafía debe usarse oficialmente para nombrar virus?3;Cursiva;Mayúscula;Alfabética
¿Cuál es la cantidad de células infectadas en una persona que tiene SARS-CoV-2?3;Aproximadamente 10e¹¹;Alrededor de 10000;Aproximadamente 2,5e⁸
¿Cuál es la masa total de viriones en un paciente infectado durante el pico de infección?3;0,0001g;0,000000001g;0,0000000000000000001g
¿Existe una relación entre la gravedad de la enfermedad y los niveles de contaminación del aire?1;Sí;No;Puede ser
¿Cuáles son los 5 principales contaminantes reponsables del deterioro del sistema inmunológico?3;O₃, NO, NO₂, PM2,5 y PM10;O₃, NO, NO₂, CO₂ y CO;CH₄, NO, NO₂, CO y CO₂
¿Qué causó el mayor número de muertes en 2019?2;La contaminación atmosférica;COVID-19;El cáncer
¿Qué causó el mayor número de muertes prematuras en 2019?3;La contaminación atmosférica;COVID-19;El cáncer
¿Por qué la contaminación del aire empeora la gravedad del COVID-19?2;Porque empeora la condición física y ayuda a la propagación del virus en el aire;Porque empeora la condición física;Porque ayuda a que el virus se propague por el aire
¿Qué contaminante ayuda más a que el virus se propague?3;PM2,5;NO₂;PM10
¿Qué porcentaje de pacientes infectados necesitan cuidados médicos intensivos?3;Alrededor del 20%;Alrededor del 10%;Alrededor del 15%
¿Qué porcentaje de pacientes hospitalizados mueren en cuidados intensivos?3;Más del 10%;Más del 5%;Más del 20%
¿Es el cuerpo humano estéril?2;No, hay más células bacterianas que células humanas en nuestro cuerpo;No, hay células bacterianas;No, hay células bacterianas y microbios
¿Hay virus en el cuerpo humano?3;Sí, y muchos;A veces, cuando te enfermas;No
¿Qué microorganismos se encuentran en nuestras heces?3;Virus, bacterias, protistas, arqueas y hongos;Virus, bacterias y protistas;Bacterias, protistas y hongos
¿Dónde se encuentran la mayoría de los microbios en nuestro cuerpo?2;En el tracto gastrointestinal;En el estómago;En la garganta
