Qu’est ce que «élimination du virus» veut dire en termes épidémiologiques?2;Réduction des cas de transmission à un niveau prédéterminé très bas;Réduction des cas de transmission à 0 cas;Disparition définitive du virus
Qu’est que les vaccins à agent pathogène inactivé utilisent?3;Une forme morte du pathogène;Une forme modifiée du pathogène;Une forme atténuée du pathogène
Quels moyens peuvent être utilisés pour inactiver les virus?1;Chimiques, chaleur, ou radiation;Chimiques ou chaleur;Chaleur ou radiation
Quels sont les constituants basiques d’un vaccin?3;Stabilisateurs, antibiotiques, préservatifs, composants de trace, adjuvants, et ingrédients actifs;Stabilisateurs, antibiotiques, préservatifs, et ingrédients actifs;Stabilisateurs, antibiotiques, et préservatifs
Quel est le moyen le plus efficace pour contrôler la pandémie COVID-19 s’il n’y a pas de cure?2;Vaccination;Isolement;Hygiène sanitaire
En quoi consiste un vaccin vectoriel?3;Vaccins conçus à l’aide de virus inoffensifs pour transmettre le matériel génétique de l’agent pathogène aux cellules hôtes afin de stimuler les réponses immunitaires;Vaccins conçus à l’aide de virus morts pour transmettre le matériel génétique de l’agent pathogène aux cellules hôtes afin de simuler les réponses immunitaires;Vaccins de référence
Si le virus est atténué…3;il est encore vivant mais il provoque une faible réponse immunitaire;il est encore vivant mais il est inactivé;il est encore mort mais il provoque une faible réponse immunitaire
Quel est le rôle d’un laboratoire?2;Un laboratoire a pour objectif principal de fournir des résultats fiables;Un laboratoire a pour objectif principal de réaliser des expériences;Un laboratoire a pour objectif principal de vérifier des hypothèses
Quels sont les principaux types de laboratoires?1;Laboratoire de chimie, de biologie, de physique, et de radiologie;Laboratoire de chimie, de biologie, et de physique;Laboratoire de chimie, et de biologie
Est-il probable que les virus aient donné origine à la vie?2;Oui;Non;Peut-être
Les virus affectent-ils tous les organismes vivants?2;Oui;Non;Non, seulement les organismes pluricellulaires
Les experts des virus s’appellent…1;virologues ou virologistes;virologues;virologistes
La science des virus s’appelle…1;virologie;biologie;microbiologie
Quelles sont les entités biologiques les plus nombreuses sur la planète?2;Les virus;Les plantes;Les humains
Le virus est un être…1;vivant ou non-vivant;non-vivant;vivant
Notre code génétique est composé de quel pourcentage d’origine virale?2;Environ 10%;Environ 1%;Environ 2%
Quel est le premier coronavirus dont nous avons eu connaissance de l’existence?3;B814;SarsCov-00;MersCov-00
Quelle langue est utilisée pour communiquer des noms scientifiques?2;Le latin;L’anglais;Le français
Pourquoi communique-t-on les noms scientifiques en latin?2;Aucune raison particulière;Principe préétabli par les nobles de la renaissance;Car le latin a été la langue des connaissances scientifiques pendant très longtemps
Quelle calligraphie doit être utilisée officiellement pour nommer les virus?3;Italique;Cursive;Alphabétique
Quel est le nombre de cellules infectées dans une personne qui a le SARS-CoV-2?3;Environ 10e¹¹;Environ 10000;Environ 2,5e⁸
Quelle est la masse totale de virions dans un patient infecté pendant le pic d’infection?3;0,0001g;0,000000001g;0,0000000000000000001g
Y a-t-il une relation entre la sévérité de la maladie et les niveaux de pollution atmosphérique?1;Oui;Non;Peut-être
Quels sont les 5 polluants principaux issus de la détérioration du système immunitaire?3;O₃, NO, NO₂, PM2.5 et PM10;O₃, NO, NO₂, CO₂ et CO;CH₄, NO, NO₂, CO et CO₂
Qu’est ce qui a causé le plus grand nombre des morts en 2019?2;La pollution atmosphérique;La COVID-19;Le cancer
Qu’est ce qui a causé le plus grand nombre des morts prématurés en 2019?3;La pollution atmosphérique;La COVID-19;Le cancer
Pour quelles raisons la pollution de l’air empire la sévérité du Covid-19?2;Car elle empire la condition physique, et elle aide à la propagation du virus dans l’air;Car elle empire la condition physique;Car elle aide à la propagation du virus dans l’air
Quel polluant aide le plus à la propagation du virus?3;PM2.5;PM10;NO₂
Quel pourcentage des patients infectés ont besoin de soins médicaux intensifs?3;Environ 20%;Environ 10%;Environ 15%
Quel pourcentage de patients hospitalisés meurent aux soins intensifs?3;Plus de 10%;Plus de 5%;Plus de 20%
Le corps humain est-il stérile?2;Non, il y a plus de cellules bactériennes que de cellules humaines dans notre organisme;Non, il y a de cellules bactériennes;Non, il y a de cellules bactériennes et de microbes
Y-a-t il des virus dans le corps humain?3;Oui, énormément;Parfois, quand on tombe malade;Non
Quels micro-organismes retrouve-t-on dans nos matières fécales?3;Virus, Bactéries, Protistes, Archées, et Champignons;Virus, Bactéries, et Protistes;Bactéries, Protistes, et Champignons
Où retrouve-t-on la plupart des microbes dans notre organisme?2;Dans le tract gastro-intestinal;Dans le stomach;Dans la gorge
