Hva betyr «viruseliminering» epidemiologisk?2;Reduserer saksoverføring til et forhåndsbestemt, veldig lavt nivå;Reduksjon av overføringssaker til 0 saker;Permanent forsvinning av viruset
Hvilken nytte er vaksiner mot inaktiverte patogener?3;En død form av patogenet;En modifisert form av patogenet;En svekket form av patogenet
Hva betyr kan virus inaktiveres?1;Kjemikalier, varme eller stråling;kjemikalier eller varme;Varme eller stråling
Hva er de grunnleggende komponentene i en vaksine?3;Stabilisatorer, antibiotika, konserveringsmidler, sporstoffer, hjelpestoffer og aktive ingredienser;Stabilisatorer, antibiotika, konserveringsmidler og aktive ingredienser;Stabilisatorer, antibiotika og konserveringsmidler
Hva er den mest effektive måten å kontrollere COVID-19-pandemien på hvis det ikke finnes noen kur?2;Vaksinasjon;Isolasjon;Sanitær hygiene
Hva er en vektorvaksine?3;Vaksiner bruker ufarlige virus for å levere patogenets genetiske materiale inn i vertscellene;Utviklet vaksiner som bruker drepte virus for å levere patogenets genetiske materiale til vertsceller, og simulere immunresponser;Referansevaksiner
Når viruset er svekket…3;den er fortsatt i live, men utløser en svak immunrespons;den er fortsatt i live, men den er inaktiv;den er fortsatt død, men forårsaker en svak immunrespons
Hva er funksjonen til et laboratorium?2;Hovedmålet med et laboratorium er å gi pålitelige resultater;Hovedformålet med et laboratorium er å utføre eksperimenter;Hovedoppgaven til et laboratorium er å teste hypoteser
Hva er hovedtypene av laboratorier?1;Laboratorium for kjemi, biologi, fysikk og radiologi;Laboratorium for kjemi, biologi og fysikk;Kjemi- og biologilaboratorium
Er det sannsynlig at virus ga liv?2;Ja;Nei;Kanskje
Påvirker virus alle levende organismer?2;Ja;Nei;Nei, bare flercellede organismer
Viruseksperter kalles…1;virologer;mikrobiologer;bakteriologer
Vitenskapen om virus er…1;virologi;biologi;mikrobiologi
Hva er de mest tallrike biologiske enhetene på planeten?2;Virus;Anlegg;Mennesker
Viruset er et __ vesen1;levende eller ikke-levende;ikke lever;levende
Hvor mange prosent av vår genetiske kode er av viral opprinnelse?2;Omtrent 10%;Omtrent 2%;Omtrent 1%
Hva er det første koronaviruset vi har bevis for?3;B814;SarsCov-00;MersCov-00
På hvilket språk formidles vitenskapelige navn?2;Latin;Engelsk;Norsk
Hvorfor formidles vitenskapelige navn på Latin?2;Ingen spesifikk grunn;Prinsipp satt av renessansens adelsmenn;I lang tid var latin språket for vitenskapelig kunnskap
Hvilken håndskrift må offisielt brukes for å navngi virus?3;Kursiv;Stor bokstav;Alfabetisk
Hvor mange infiserte celler har en person med SARS-CoV-2?3;Ca 10e¹¹;Ca 10000;Ca 2,5e⁸
Hva er den totale massen av virioner hos en infisert pasient under infeksjonstoppen?3;0,0001g;0,000000001g;0,00000000000000001g
Er det en sammenheng mellom alvorlighetsgraden av sykdommen og luftforurensning?1;Ja;Nei;Kanskje
Hva er de 5 hovedforurensningene som er ansvarlige for forverring av immunsystemet?3;O₃, NO, NO₂, PM2,5 og PM10;O₃, NO, NO₂, CO₂ og CO;CH₄, NO, NO₂, CO og CO₂
Hva forårsaket flest dødsfall i 2019?2;Luftforurensing;COVID-19;Kreft
Hva forårsaket det høyeste antallet for tidlige dødsfall i 2019?3;Luftforurensing;COVID-19;Kreft
Hvorfor forverrer luftforurensning alvorlighetsgraden av COVID-19?2;Fordi det forverrer fysisk tilstand og fremmer spredning av viruset i luften;Fordi den fysiske tilstanden forverres;Fordi det hjelper viruset med å spre seg gjennom luften
Hvilket miljøgifter bidrar mest til spredningen av viruset?3;PM2,5;PM10;NO₂
Hvor mange prosent av infiserte pasienter trenger intensivbehandling?3;Omtrent 20%;Omtrent 10%;Omtrent 15%
Hvor mange prosent av sykehuspasientene dør på intensivavdelingen?3;Mer enn 10%;Mer enn 5%;Mer enn 20%
Er menneskekroppen steril?2;Nei, det er flere bakterieceller i kroppen vår enn menneskeceller;Nei, det er bakterieceller;Nei, det er bakterieceller og mikrober
Er det virus i menneskekroppen?3;Ja, og mange;Noen ganger når du blir syk;Nei
Hvilke mikroorganismer finnes i avføringen vår?3;Virus, bakterier, protister, arkea og sopp;Virus, bakterier og protister;Bakterier, protister og sopp
Hvor i kroppen vår finnes det flest mikrober?2;I mage-tarmkanalen;I magen;I halsen
