Herdenimmunität tritt auf, wenn…3;es  genügend geimpfte Personen gibt, um die Zirkulation eines Virus zu blockieren (nicht 100%);100% der Menschen geimpft sind;mehr als 50% der Menschen geimpft sind
Können Sie sich mit den getroffenen Schutzmassnahmen auch vor anderen Atemwegsviren wie Grippe oder Erkältung schützen?2;Ja;Nein;Nur wenn Sie eine Maske verwenden
Welches Reinigungsmittel entfernt  Covid-19 von unbelebten Oberflächen besser?2;Klassisches Reinigungsprodukt oder Desinfektionsmittel;100% Ethanol;86% Ethanol
Die Maske verbirgt…1;die Nase, den Mund und das Kinn;den Mund;die Nase und den Mund
Wenn sich die Maske aus ihrer richtigen Position bewegt hat, dann…1;müssen Sie die Maske mit desinfizierten Händen in die richtige Position bringen;müssen Sie es nicht berühren;müssen Sie es anders unterbringen
Das Tragen von Handschuhen im Alltag schützt mich vor dem Virus?1;Nein;Ja;Nur wenn Ihre Hände sauber sind
Um mir die Nase zu putzen,…1;habe ich ein Taschentuch für meinen persönlichen Gebrauch;kann ich mein Taschentuch mit jemandem teilen, der sich in meiner persönlichen Blase befindet;jede Art ist nützlich
Die Verwendung einer Maske an Orten, an denen dies nicht vorgeschrieben ist, ist sinnvoll…1;um den Auswurf von Speicheltröpfchen und persönlichen Nasensekreten in die Umgebung zu begrenzen;um den Auswurf auf andere zu begrenzen;um den Auswurf auf andere und unserer zu begrenzen
Die Maske dient nur dem Schutz der Menschen um mich herum?1;Nein. Die Maske ist auch in der Lage, die übertragene Viruslast zu reduzieren und somit die Schwere der Erkrankung im Falle einer Infektion zu verringern;Ja;Nein. Die Maske ist auch in der Lage, die aufgenommenen Luftschadstoffe zu reduzieren und so die Schwere der Erkrankung im Falle einer Infektion zu verringern
Bei welcher Temperatur sollten wiederverwendbare Masken gewaschen werden?2;Bei mindestens 56°C;Bei mindestens 60°C;Bei mindestens 100°C
Wie lange müssen wiederverwendbare Masken gewaschen werden?2;30 Minuten mindestens;45 Minuten mindestens;1 Stunde mindestens
Welche Ethanolkonzentration ist für ein Reinigungsmittel am effektivsten?3;70%;95%;100%
Was ist das effektivste Reinigungsmittel?3;70% Ethanol;85% Ethanol;Chloroform zu 92%
Welche essentielle Droge für die Medizin ist ab Beginn von COVID-19 schnell knapp geworden?3;Hydrochloroquinsulfat;Hydrochloroquinsulfi;Chlorwasserstoffsulfit
Kann das Virus auf dem Papier überleben?2;Ja;Nein;Ja, aber nur, wenn die Oberfläche ausreichend nass ist
Bietet das Tragen einer Brille im Alltag einen zusätzlichen Schutz vor dem Virus?1;Nein;Ja;Nur eine Sonnenbrille
Kann das Virus durch Blut übertragen werden?1;Ja;Nein;Es hängt von der Blutgruppe ab
Die Leute, die ihre Masken auf den Boden werfen, wovor haben sie Angst?1;Dass der Mülleimer auf ihren Fressen niest;Ihre Freiheit zu verlieren;Identifiziert zu werden
Wem sollte das Aufsetzen der Maske schwerer fallen?1;Voldemort;Kim Kardashian;Thanos
Wie heißt eine Person, die einen Zusatz zu hydroalkoholischem Gel hat?1;Eine hydroalkoholische Person;Eine verrückte Person;Eine süchtige Person
Vitamin D…2;hilft, das Risiko einer akuten viralen Atemwegsinfektion zu verringern;hilft gegen Verdauungsprobleme;hilft, das Herzsystem zu stärken
Wie vermeide ich mein Gesicht zu berühren und dadurch eine Virusinfektion zu bekommen?1;Ich soll einfach nur ein Bier in jeder Hand halten;Ich soll mich an einem Seil festbinden;Ich soll meine Hände abschneiden
Vor COVID-19 hätten wir niesen müssen, um einen Furz zu verstecken. Während der Pandemie, hätten wir eher…1;gefurzt, um ein Niesen zu verbergen;Musik gespielt, um den Furz zu verstecken;einen Sprung gemacht, um die beiden zu verstecken
Hat die Grippeimpfung dazu beigetragen, die Schwere der COVID-19-Fälle zu verringern?3;Ja;Nein;Natürlich, wenn man ein Jahr vor der Pandemie betrachtet
Das Virus kann bei Aerosolen für __ bestehen bleiben3;3 Std;2 Std;4 Std
Nachdem Sie sich die Nase geputzt haben,…1;müssen Sie das Taschentuch in den entsprechenden Müll werfen, ohne zu vergessen, Ihre Hände zu waschen oder zu desinfizieren;müssen Sie das Taschentuch in den Müll werfen, ohne zu vergessen, sich die Hände zu waschen;müssen Sie das Taschentuch in den entsprechenden Mülleimer werfen
Warum lässt die Verwendung von Masken keine klare Rede zu?2;Weil die Maske die Schallfrequenzen reduziert;Weil die Maske als Schallmauer fungiert;Weil die Maske den Luftstrom, der aus der Lunge kommt, unterbricht
Vitamin E…2;stärkt das Immunsystem;schützt den Körper vor Krankheitserregern;unterstützt einen Atemschutzmechanismus
Vitamin C…2;unterstützt einen Atemschutzmechanismus;schützt den Körper vor Krankheitserregern;stärkt das Immunsystem
