La inmunidad colectiva se presenta cuando…3;Hay suficientemente gente inmunizada para bloquear la circulación de un virus (no 100%);Hay un 100% de gente inmunizada;Hay más de un 50% de gente inmunizada
¿Las medidas de protección puestas en marcha permiten también de protegerse de otros virus respiratorios como la gripe o los resfriados?2;Sí;No;Sólo si se usa barbijo
¿Qué agente de limpieza permite eliminar más el COVID-19 de las superficies inanimadas?2;Producto de limpieza clásico o producto desinfectante;Etanol a 100%;Etanol a 86%
El barbijo esconde…1;la nariz, la boca y el mentón;la nariz y la boca;la boca
Si el barbijo se desplazó de su posición adecuada,…1;hay que acomodarlo bien con las manos desinfectadas;no hay que tocarlo;hay que acomodarlo diferentemente
¿Usar guantes en la vida cotidiana me protege del virus?1;No;Sí;Sólo si las manos están limpias
Para soplarme la nariz,…1;tengo un pañuelo de uso personal;puedo compartir mi pañuelo con alguien que este en mi burbuja personal;cualquier tipo de pañuelo es útil
El uso de barbijo en lugares donde no es obligatorio sirve…1;para limitar las proyecciones de los postillones y las secreciones nasales personales en el ambiente;para limitar las proyecciones de otros;para limitar las proyecciones de otros y las nuestras
¿El barbijo sólo sirve para proteger la gente alrededor mío?1;No. El barbijo también es capaz de reducir la carga viral recibida, y por tanto reducir la gravedad de la enfermedad si uno se infecta;No. El barbijo también es capaz de reducir los contaminantes del aire recibidos y, por tanto, reducir la gravedad de la enfermedad si uno se infecta;Sí
¿A qué temperatura los barbijos reutilizables deben ser lavadas?2;A mínimo 56°C;A mínimo 60°C;A mínimo 100°C
¿Cuánto tiempo hay que lavar los barbijos reutilizables?2;30min mínimo;45min mínimo;1h mínimo
¿Qué concentración de etanol es la más eficaz para un agente de limpieza?3;70%;95%;100%
¿Cuál es el agente de limpieza más eficaz?3;Etanol a 70%;Etanol a 85%;Cloroformo a 92%
Al comienzo de la COVID-19, ¿qué droga esencial para la medicina cayó rápidamente en escasez?3;Sulfato de hydrochloroquina;Sulfito de hydrochloroquina;Sulfito de hydrochlorina
¿Puede el virus sobrevivir sobre papel?2;Sí;No;Sí, pero sólo si la superficie está lo suficientemente húmeda
¿El uso de lentes en la vida cotidiana otorga una protección extra contra el virus?1;No;Sí;Sólo gafas de sol
¿El virus puede ser transmitido por la sangre?1;Sí;No;Depende del tipo de sangre
¿La gente que tira sus barbijos al piso, de qué tienen miedo?1;De que el basurero les estornude en la trompa;De ser identificados;De perder su libertad
¿A quién le debe resultar más difícil ponerse su barbijo?1;Voldemort;Kim Kardashian;Thanos
¿Cómo se llama una persona que tiene una adición al gel hidroalcohólico?1;Una persona hidroalcohólica;Una persona maniática;Una persona adicta
La vitamina D…2;ayuda a disminuir el riesgo de una infección respiratoria viral aguda;ayuda contra los problemas de digestión;ayuda a reforzar el sistema cardíaco
¿Cómo evitar de tocarse la cara y, por lo tanto, contraer una infección viral?1;Hay que simplemente sostener una cerveza en cada mano;Hay que atarse en una cuerda;Hay que cortarse las manos
Antes de la COVID-19, habríamos estornudado para esconder un pedo, en pandemia habríamos más bien…1;pedorreado para esconder un estornudo;puesto música para esconder el pedo;saltado para esconder los dos
¿La vacunación contra la influenza ha ayudado a disminuir la gravedad de los casos de la COVID-19?3;Sí;No;Eso sí, si se fija un año antes de la pandemia
El virus puede persistir en los aerosoles:3;3h;2h;4h
Después de soplarse la nariz,…1;hay que tirar el pañuelo a la basura correspondiente sin olvidar de lavarse las manos o desinfectarlas;hay que tirar el pañuelo a la basura sin olvidar de se lavarse las manos;hay que tirar el pañuelo a la basura correspondiente
¿Por qué el uso de barbijos no permite un discurso claro?2;Porque el barbijo disminuye las frecuencias sonoras;Porque el barbijo actúa como una barrera sonora;Porque el barbijo corta la corriente de aire que viene de los pulmones
La vitamina E…2;refuerza el sistema inmunitario;sostiene un mecanismo de defensa respiratorio;protege al organismo de agentes patógenos
La vitamina C…2;sostiene un mecanismo de defensa respiratorio;refuerza el sistema inmunitario;protege al organismo de agentes patógenos
