L’immunité collective se présente quand…3;il y a suffisamment de gens immunisés pour bloquer la circulation d’un virus (pas 100%);il y a 100% de gens immunisés;il y a plus de 50% de gens immunisés
Les mesures de protection mises en place permettent-elles aussi de se protéger des autres virus respiratoires comme la grippe ou les rhumes?2;Oui;Non;Seulement si l’on porte un masque
Quel agent de nettoyage permet de mieux éliminer le COVID-19 des surfaces inanimées?2;produit d’entretien classique ou produit désinfectant;éthanol à 100%;éthanol à 86%
Le masque cache…1;le nez, la bouche et le menton;le nez et la bouche;la bouche
Si le masque a été déplacé de sa position adéquate,…1;il faut le remettre avec les mains désinfectées;il ne faut surtout pas le toucher;il faut le remettre convenablement
Porter des gants dans la vie quotidienne me protège-il du virus?1;Non;Oui;Seulement si les mains sont propres
Pour se moucher, il faut avoir…1;un mouchoir d’usage personnel;mouchoir de quelqu’un dans notre bulle;n’importe quel tissu
Le port du masque dans des endroits non obligatoires sert…1;à limiter les projections de postillons et les sécrétions nasales personnelles dans l’environnement;à limiter les projections d’autrui;à limiter les projections d’autrui et les nôtres
Le masque sert-il uniquement à protéger les personnes autour de moi?1;Non. Le masque est également capable de diminuer la charge virale reçue, et donc de reduire la gravité de la maladie si l’on devient infecté;Oui;Non. Le masque est également capable de diminuer les polluants atmosphériques reçus, et donc de reduire la gravité de la maladie si l’on devient infecté
À quelle température les masques réutilisables doivent-ils être lavés?2;56°C minimum;60°C minimum;100°C minimum
Combien de temps faut-il laver les masques réutilisables?2;30 min minimum;45 min minimum;1h minimum
Quelle est la concentration en éthanol la plus efficace pour un agent de nettoyage?3;70%;95%;100%
Quel est l’agent de nettoyage plus efficace?3;Éthanol à 70%;Chlorine à 92%;Éthanol à 85%
Au début de la pandémie, quelle drogue essentielle pour la médecine est tombée vite en pénurie?3;Sulfate d’hydrochloroquine;Sulfite d’hydrochloroquine;Sulfite d’hydrochlorine
Le virus peut-il survivre sur du papier?2;Oui;Non;Oui, mais seulement si la surface est assez humide
Le port de lunettes dans la vie quotidienne donne-t-il une protection en plus?1;Non;Oui;Seulement les lunettes du soleil
Le virus peut-il être transmis par le sang?1;Oui;Non;Cela dépend du groupe sanguin
Les gens qui jettent leurs masques par terre, de quoi ont-ils peur?1;Que la poubelle leur éternue à la tronche;Qu’ils perdent leurs libertés;Qu’ils soient identifiés
Qui doit avoir plus difficile pour mettre son masque?1;Voldemort;Kim Kardashian;Thanos
Comment appelle-t-on une personne qui a une addiction au gel hydroalcoolique?1;Une personne hydroalcoolique;Une personne maniaque;Une personne accro
La vitamine D…2;aide à diminuer le risque d’une infection respiratoire aiguë virale;aide contre les problèmes de digestion;aide à renforcer le système cardiaque
Comment éviter de se toucher le visage et, donc, éviter une infection virale?1;Il faut juste tenir une bière dans chaque main;Il faut s’enrouler dans une corde;Il faut se couper les mains
Avant la COVID-19, on aurait éternué pour cacher un pet. En pandémie on aurait plutôt…1;peté pour cacher un éternuement;joué de la musique pour cacher un pet;sauté pour éviter les deux
La vaccination contre l’influenza a-t-elle aidé à diminuer la sévérité des cas de COVID-19?3;Oui;Non;Juste si elle est mise un an avant la pandémie
Le virus peut persister __ dans les aérosols3;3h;2h;4h
Après s’être mouché,…1;on jette le mouchoir dans la poubelle correspondante sans oublier de se laver ou désinfecter les mains;on jette le mouchoir dans la poubelle sans oublier de se laver les mains;on jette le mouchoir dans la poubelle correspondante
Pourquoi le port du masque empêche-t-il un discours clair?2;Car il diminue les fréquences sonores;Car il coupe le courant d’air venant des poumons;Car il fait une barrière sonore
La vitamine E…2;renforce le système immunitaire;protège l’organisme des agents pathogènes;soutient le mécanisme de défense respiratoire
La vitamine C…2;soutient le mécanisme de défense respiratoire;renforce le système immunitaire;protège l’organisme des agents pathogènes
