Kudde-immuniteit treedt op wanneer…3;er zijn mensen genoeg gevaccineerd om de circulatie van een virus te blokkeren (niet 100%);100% van de mensen is gevaccineerd;meer dan 50% van de mensen is gevaccineerd
Kunt u zich met de door u genomen beschermende maatregelen tegen andere luchtwegvirussen zoals griep of verkoudheid beschermen?2;Ja;Nee;Alleen als je een masker gebruikt
Welk reinigingsmiddel verwijdert beter COVID-19 van levenloze oppervlakken?2;Klassiek reinigingsproduct of desinfectiemiddel;100% ethanol;86% ethanol
Het masker bedekt…1;de neus, mond en kin;de mond;de neus en mond
Als het masker uit positie is bewogen, dan…1;je moet het masker goedzetten met ontsmette handen;je hoeft het niet aan te raken;je moet het masker op een andere manier doen
Beschermt het dragen van handschoenen in het dagelijks leven mij tegen het virus?1;Nee;Ja;Alleen als je handen schoon zijn
Om mijn neus te snuiten…1;Ik heb een zakdoek voor persoonlijk gebruik;Ik kan mijn zakdoek delen met iemand die in mijn persoonlijke bubbel zit;elk type sjaal is handig
Het is zinvol om een ​​masker te gebruiken op plaatsen waar dit niet nodig is…1;om de projecties van postilons en persoonlijke neusafscheidingen in de omgeving te beperken;om de projecties van anderen en de onze te beperken;om de projecties van anderen te beperken.
Het masker wordt alleen gebruikt om de mensen om mij heen te beschermen?1;Nee. Het masker kan ook de overgedragen virale last verminderen en daardoor de ernst van de ziekte verminderen in geval van een infectie;Ja;Nee. Het masker kan ook de ingenomen luchtverontreinigende stoffen verminderen, waardoor de ernst van de ziekte in geval van een infectie wordt verminderd
Op welke temperatuur moeten herbruikbare maskers gewassen worden?2;Minimaal 56°C;Minimaal 60°C;Minimaal 100°C
Hoe lang moeten herbruikbare maskers gewassen worden?2;30 minuten tenminste;45 minuten tenminste;1 uur minstens
Welke ethanolconcentratie is het meest effectief voor een reinigingsmiddel?3;70%;95%;100%
Wat is het meest effectieve wasmiddel?3;70% ethanol;85% ethanol;Chloroform op 92%
Welk essentieel medicijn voor medicijnen is sinds het begin van COVID-19 snel schaars geworden?3;hydrochloroquinesulfaat;hydrochloroquinesulfiet;waterstofchloridesulfiet
Kan het virus op papier overleven?2;Ja;Nee;Ja, maar alleen als de ondergrond voldoende nat is
Biedt het dragen van een bril in het dagelijks leven extra bescherming tegen het virus?1;Nee;Ja;Gewoon een zonnebril
Kan het virus via bloed worden overgedragen?1;Ja;Nee;Het hangt af van de bloedgroep
De mensen die hun maskers op de grond gooien, waar zijn ze bang voor?1;Dat de vuilnisbak op hun eten niest;Om geïdentificeerd te worden;Hun vrijheid te verliezen
Voor wie zou het moeilijker zijn om het masker op te zetten?1;Voldemort;Kim Kardashian;Thanos
Wat is de naam van een persoon die een toevoeging heeft aan hydroalcoholische gel?1;Een hydroalcoholisch persoon;Een gek persoon;Een verslaafde persoon
Vitamine D…2;Helpt het risico op acute respiratoire virale infectie te verminderen;Helpt tegen spijsverteringsproblemen;Helpt het hartsysteem te versterken
Hoe voorkom ik dat ik mijn gezicht aanraak en daardoor een virale infectie krijg?1;Ik moet gewoon een biertje in elke hand hebben;Ik moet in mijn handen snijden;Ik moet mezelf aan een touw vastbinden
Vóór COVID-19 moesten we niezen om een ​​scheet te verbergen. Tijdens de pandemie hebben we liever…1;Laat een scheet om een ​​niesbui te verbergen;Speel muziek om de scheet te verbergen;Maak een sprong in de lucht om de twee te verbergen
Heeft de griepprik de ernst van COVID-19-gevallen helpen verminderen?3;Ja;Nee;Natuurlijk, als je kijkt naar een jaar vóór de pandemie
Het virus kan blijven bestaan __ in de vorm van aerosols3;3 uren;2 uren;4 uren
Nadat je je neus hebt gesnoten…1;Moet je de zakdoek in e daarvoor bestemde afvalbak gooien en niet vergeten uw handen te wassen of te desinfecteren;Moet je de zakdoek in de prullenbak gooien en vervolgens je handen wassen;Moet je de zakdoek in de daarvoor bestemde prullenbak gooien
Waarom staat het gebruik van maskers geen duidelijke spraak toe?2;Omdat het masker de geluidsfrequenties vermindert;Omdat het masker als geluidsbarrière fungeert;Omdat het masker de luchtstroom die uit de longen blokkeert
Vitamine E…2;versterkt het immuunsysteem;beschermt het lichaam tegen ziekteverwekkers;ondersteunt een ademhalingsbeschermingsmechanisme
Vitamine C…2;ondersteunt een ademhalingsbeschermingsmechanisme;beschermt het lichaam tegen ziekteverwekkers;versterkt het immuunsysteem
