Hva betyr "celle"?2;Grunnleggende byggestein for alle levende ting;Strukturell byggestein av vev;Byggestein av alle levende ting
Hva betyr "PM2.5"?2;Partikler mindre enn 2,5 mikrometer i diameter;Partikler mindre enn 2,5 makrometer i diameter;Partikler mindre enn 2,5 millimeter i diameter
Hva betyr "PM10"?2;Partikler mindre enn 10 mikrometer i diameter;Partikler mindre enn 10 picometer i diameter;Partikler mindre enn 10 deler for millioner i diameter
Hva betyr "virus"?3;Innkapslede og ikke-innkapslede genomer;Innkapslede genomer;Ikke-innkapslede genomer
Hva betyr "slim"?3;Væskelag ca 5 μm tykt som dekker luftveiene;Væskelag ca 2 μm tykt som dekker veggene i nesehulene;Flytende lag ca 3 μm tykt som dekker det indre av nesen
Hva betyr "vev"?3;Struktur sammensatt av celler som utfører samme oppgave for hele organismen;Struktur som består av celler;Struktur sammensatt av identiske celler som utfører samme oppgave
Hva betyr "organ"?2;Del av kroppen som utfører en vital eller spesiell funksjon;En del av kroppen som utfører en vital funksjon;En del av kroppen som utfører en spesiell funksjon
Hva betyr "orgamisme"?2;Noe hvis deler jobber sammen for den integrerte helheten, med høyt samarbeid og lav konflikt;Celle eller gruppe av celler;Celle eller gruppe av celler sammenkoblet
Under nettkurs har det vært mulig…1;ikke å bruke bukser;å ikke bruke t-skjorte;å være online til slutten av timen
Hva betyr "patogen"?3;Organisme som forårsaker sykdom hos verten;Organisme som forärsaker symptomer på verten;Organisme som gir negative symptomer til verten
Hva er riket til SARS-CoV-2?3;Orthornavirae;Coronavirae;Sarscivirae
Hva er ordenen til SARS-CoV-2?3;Nidovirales;Coronavirae;Sarscovirales
Hva er underordenen til SARS-CoV-2?3;Cornidovirineae;Coronavirineae;Sarscovirineae
Hva er underfamilien til SARS-CoV-2?3;Orthocoronavirinae;Betacoronavirinae;Paravirinae
Hva er slekten til SARS-CoV-2?3;Betacoronavirus;Ortokoronavirus;Sarscov
Hva er SARS-CoV-2-domenen?3;Riboviria;Coronaviria;Sarscov
Hva betyr "mikrobe"?2;Små levende ting som forårsaker sykdommer;Små levende ting som finnes overalt rundt oss og er for små til å bli sett med det blotte øye;Smittsomme levende ting som finnes rundt oss
Hva betyr "virion"?2;Viruspartikkel;Viralt genom;Viral gen
Hva betyr "virofager"?2;Virus som er i stand til å infisere andre større virus for å replikere;Virus i stasjonær vekstfase;Dødt virus
Kan et virus infisere et annet virus?2;Ja;Nei;Nei. Fordi virus ikke har noe mobilt maskineri
Hva er klassen til SARS-CoV-2?3;Pisonviricetes;Coronaviridae;Betacoronavireae
Er alle virus skadelige?2;Nei. Bakteriofager infiserer bakterier som kan være farlige for mennesker;Nei. Det er noen virus som er i stand til å kurere visse menneskelige sykdommer;Ja
Hva betyr "RNA"?1;Ribonukleinsyre;Ribinukleinsyre;Deoksyribonukleinsyre
Hva betyr "DNA"?1;Deoksyribonukleinsyre;Ribonukleinsyre;Deoksyribonukleinsyre
Hva betyr "gen"?2;Arvelighetsenhet;Enhet av DNA;Enhet av genom
Hva betyr "genom"?3;Komplett sett med genetisk materiale i en organisme;Sett med gener;Enhet av genetisk materiale
Hva betyr "bakteriofag"?2;Virus som kun kan infisere bakterier;Virus skapt kun av bakterier;Virus som er i stand til å infisere bakterier
Hva er forskjellen mellom virus og virion?3;Begrepet "virus" refererer til alle faser av virusinfeksjonssyklusen, mens et virion refererer til en viruspartikkel;Begrepet "virus" refererer til det opprinnelige viruset, mens et virion refererer til alle viruspartiklene som er opprettet etter replikering;Begrepet "virus" refererer til viruspartiklene mindre enn 5 nanometer, mens virion refererer til viruspartikler større enn 5 nanometer
Hva er opprinnelsen til ordet "virus"?3;Det engelske ordet "virus" er basert på et latinsk ord for "giftig sekresjon";Det engelske ordet "virus" er basert på et gresk ord for "giftig sekresjon";Det engelske ordet "virus" er basert på et latinsk ord for "mikrobe"
Hva er navnet på den felles stamfaren til moderne celler?2;LUCA (Last Universal Common Ancestor);FUCA (First Universal Common Ancestor);UCA (Universal Common Ancestor)
Hvordan har juks endret seg under netteksamener?1;Det er økt;Det har ikke endret seg;Det er redusert
Hva er underslekten til SARS-CoV-2?3;Sorbecovirus;Coronavirae;Sarscov
Hva står "SARS-CoV-2" for?1;Alvorlig akutt luftveissyndrom Coronavirus 2;Mykt luftbårent luftveissyndrom Coronavirus 2;Alvorlig luftbåren luftveissyndrom Coronavirus 2
