Es reicht aus, das Gemüse zu waschen, das der Öffentlichkeit zugänglich gemacht wurde…1;sie in kaltem Wasser einzuweichen;sie mit einem sauberen Tuch abzuwischen;sie in heißem Wasser einzuweichen
Warum hilft der Kauf und das Trinken eines Wodkas nicht gegen COVID-19, wie Herr Trump gesagt hat?1;Weil Alkohol das Immunsystem schwächt;Weil der Alkohol im Wodka zu konzentriert ist;Weil der Alkohol im Wodka nicht zu konzentriert genug ist
Was ist die ideale Temperatur für Viren?2;20°C;30°C;10°C
Was ist die optimale relative Luftfeuchtigkeit, um das Virus möglichst lange einzudämmen?3;Etwa 80%;Etwa 100%;Etwa 50%
Verhindert der Mundschutz die Ausbreitung ausgeatmeter Tröpfchen im Mund beim Husten?3;Nein;Ja;Ja, weil es den Atem anhält
Durch Husten oder Niesen kann das Virus auf __ übertragen werden3;mehr als 2 Meter;mehr als 3 Meter;mehr als 1 Meter
Durch Sprechen kann das Virus auf __ übertragen werden2;weniger als 1 Meter;weniger als 2 Meter;mehr als 1 Meter
Das Virus kann in meinen Körper gelangen durch…2;die Nase und der Mund;die Nase, der Mund und die Augen;die Nase, der Mund, die Augen und die Ohren
Spielen Glaubenssätze eine Rolle bei der Einhaltung der Maßnahmen gegen COVID-19?1;Ja;Nein, es ist eine Frage der lokalen Richtlinien;Nein, es ist einfach kollektive Verantwortung
Kann das Virus in Tiefkühlkost überdauern?3;Ja;Ja, aber nicht für lange;Nein, die Kälte tötet Viren und Bakterien ab
Können sich in Lebensmitteln Viren befinden?3;Ja;Nein;Ja, außer Tiefkühlkost
Wie viel Prozent der Todesfälle werden durch Infektionsträger verursacht?3;25%;45%;10%
Was hat den größten Einfluss auf SARS-CoV-2?3;Temperatur;pH-Wert;Feuchtigkeit
SARS-CoV-2 hat auf Kupfer eine Halbwertszeit von…3;1 Stunde;2 Stunden;4 Stunden
SARS-CoV-2 ist auf Baumwolle nachweisbar während…3;24 Stunden;10 Stunden;3 Stunden
SARS-CoV-2 kann durch Exposition gegenüber __ inaktiviert werden3;UV-Strahlung;Infrarotstrahlen;Gammastrahlung
SARS-CoV-2 hat auf Kupfer eine Lebensdauer von…3;4 Stunden;2 Stunden;1 Stunde
SARS-CoV-2 ist auf Plastik ansteckend für…3;120 Stunden;12 Stunden;30 Stunden
SARS-CoV-2 ist auf Glas ansteckend für…3;120 Stunden;30 Stunden;60 Stunden
SARS-CoV-2 ist auf Edelstahl ansteckend für…3;72 Stunden;24 Stunden;48 Stunden
Welche Materialien schützen besser vor dem Virus, absorbierende Materialien oder nicht absorbierende Materialien?3;Absorbierende Materialien;Nicht absorbierende Materialien;Keines von beidem
Kann das Virus Temperaturen unter -20°C überleben?2;Ja, das Virus ist deaktiviert;Ja;Nein, das Virus ist deaktiviert
Mit welchem ​​Desinfektionsmittel lässt sich SARS-CoV-2 wirksam inaktivieren?2;Wasserstoffperoxid;Methanol;Natriumchlorid
Kann Chlordioxid die Viruslast in Aerosolen senken?2;Ja;Nein;Nein, nur auf den Oberflächen
Kann Peressigsäure die Viruslast in Aerosolen senken?2;Ja;Nein;Nein, nur auf den Oberflächen
Kann Ozon die Viruslast in Aerosolen verringern?3;Ja;Nein, weil es ein Gas ist;Ja, weil es ein Gas ist
Wie viel Prozent der Weltbevölkerung atmet Luft, die nicht den UN-Mindeststandards entspricht?2;92%;64%;83%
Was sollte die Mindestwirksamkeit eines Mundschutzes sein, um in Betracht gezogen zu werden?3;94%;50%;99%
Kann COVID-19 per Ultraschall nachgewiesen werden?1;Ja;Nein;Nein, dafür ist es zu klein
Ist es besser, eine nicht zertifizierte Maske zu verwenden oder eine ordnungsgemäß gewaschene Maske wiederzuverwenden?2;Eine zertifizierte und wiederverwendete Maske;Keines von beidem;Eine nicht zertifizierte Maske
Sind nicht zertifizierte Masken wirksamer als das Nichttragen einer Maske?1;Nein;Ja;Beide sind gleichermaßen wirkungslos
Demotiviert ein gutes Bier das Virus?1;Nein;Ja;Nein, aber es hilft der Immunität
Wenn Sie 140 Rollen Toilettenpapier für 14 Tage Quarantäne gekauft haben…1;sie hätten schon lange vor der Pandemie zum Arzt gehen sollen;sie können sicher sein, dass es für die gesamte Pandemie reichen wird;sie können sicher sein, dass es für 6 Monate reicht
Die Zunahme der Windgeschwindigkeit…2;nimmt die Inzidenz von COVID-19 ab;nimmt die Inzidenz von COVID-19 zu;hat keinen Einfluss auf die Inzidenz von COVID-19
