Pour laver les légumes qui ont été exposés au grand public il suffit de…1;les rincer à l’eau froide;les essuyer avec un essuie propre;les rincer à l’eau chaude
Pourquoi acheter de la vodka et la boire n’aide pas contre le COVID-19 comme Monsieur Trump l’a dit?1;Car l’alcool déprime le système immunitaire;Car l’alcool dans la vodka est trop concentré;Car l’alcool dans la vodka n’est pas assez concentré
Quelle est la température idéale pour le virus?2;20°C;10°C;30°C
Quelle est l’humidité relative optimale pour contenir le virus le plus longtemps possible?3;Environ 80%;Environ 100%;Environ 50%
Le masque évite-t-il la dispersion des gouttes expirées par la bouche lorsqu’on tousse?3;Non;Oui, car il contient l’haleine;Oui
À l’aide d’une toux ou d’un éternuement, le virus peut être projeté…3;à plus de 2 mètres;à plus de 3 mètres;à plus de 1 mètre
Lorsque l’on parle normalement, le virus peut être projeté…2;à moins de 1 mètre;à moins de 2 mètres;à plus de 1 mètre
Le virus peut rentrer dans mon organisme par…2;le nez et la bouche;le nez, la bouche, et les yeux;le nez, la bouche, les yeux, et les oreilles
Est-ce que nos croyances jouent un rôle à l’heure de d’adhérer aux mesures contre le Covid?1;Oui;Non, c’est une question des politiques locales;Non, il s’agit de la responsabilité collective tout simplement
Le virus peut-il persister dans les aliments congelés?3;Oui;Non, le froid tue les virus et bactéries;Oui, mais pas longtemps
Peut-il y avoir des virus dans les aliments?3;Oui;Non;Oui, sauf dans les aliments congelés
Quel pourcentage de morts se fait via les formites?3;25%;10%;45%
Qu’est-ce qui le plus d’influence sur le SARS-CoV-2?3;La température;L’humidité;Le pH
Le SARS-CoV-2 a une demi vie sur le cuivre de…3;1h;2h;4h
Le SARS-CoV-2 reste détectable sur le cotton pendant…3;24h;3h;10h
Le SARS-CoV-2 peut être inactivé par exposition aux…3;radiations UV;rayons infrarouges;radiations gamma
Le SARS-CoV-2 a une durée de vie sur le cuivre de…3;4h;2h;1h
Le SARS-CoV-2 reste infectieux sur le plastic pendant…3;120h;12h;30h
Le SARS-CoV-2 reste infectieux sur le verre pendant…3;120h;60h;30h
Le SARS-CoV-2 reste infectieux sur le métal inoxydable pendant…3;72h;24h;48h
Quels matériaux protègent le plus contre le virus, les matériaux absorbants ou non-absorbants?3;Les matériaux absorbants;Les matériaux non-absorbants;Aucun des deux
Peut-il survivre a des températures en dessous de -20°C?2;Oui, mais il se désactive;Non, mais il se désactive;Oui
Quel agent désinfectant peut être utilisé pour rendre inactif efficacement le SARS-CoV-2?2;Peroxyde d’hydrogène;Méthanol;Chlorure de sodium
Le dioxyde de chlore peut-il diminuer la charge virale dans les aérosols?2;Oui;Non, seulement sur les surfaces;Non
L’acide peroxyacétique peut-il diminuer la charge virale dans les aérosols?2;Oui;Non;Non, seulement sur les surfaces
L’ozone peut-il diminuer la charge virale dans les aérosols?3;Oui;Non, car c’est un gaz;Oui, car c’est un gaz
Quel pourcentage de la population mondiale respire de l’air qui n’atteint pas les standards minimaux de l’ONU?2;92%;64%;83%
Quelle doit être l’efficacité minimale d’un masque pour être considéré comme apte à être porté?3;94%;50%;99%
Est-ce que le COVID-19 peut-il être détecté par l’ultrason?1;Oui;Non;Non, il est trop minuscule pour cela
Vaut-il mieux utiliser un masque non-homologué ou réutiliser un masque homologué lavé proprement?2;Un masque certifié et réutilisé;Un masque non-certifié;Aucun des deux
Les masques non-homologués sont-ils plus efficaces que de ne pas porter de masques?1;Non;Oui;Les deux sont également inefficaces
Une bonne bière nous protège-t-elle contre le virus?1;Non;Oui;Non, mais elle aide l’immunité
Si tu as acheté 140 rouleaux de papier toilette pour 14 jours de quarantaine…1;tu aurais dû aller voir un docteur avant la pandémie;tu peux être sûr/e que cela suffira pour 6 mois;tu peux être sûr/e que cela suffira pour toute la pandémie
L’augmentation de la vitesse du vent…2;diminue l’incidence du COVID-19;n’affecte pas l’incidence du COVID-19;augmente l’incidence du COVID-19
