Kann das Virus durch Mückenstiche übertragen werden?2;Ja, aber innerhalb von 24 Stunden nach dem Biss;Ja;Nein
Wie ähnlich ist die DNS menschlicher Viren der eines Schuppentieres?3;99%;82%;32%
Wie ähnlich ist die DNS menschlicher Viren der einer Fledermaus?3;88%;63%;96%
Wie ähnlich ist die menschliche DNS der eines Hundes?3;82%;54%;24%
Wie ähnlich ist die menschliche DNS der einer Kuh?3;80%;50%;30%
Wie ähnlich ist die menschliche DNS der einer Ratte?3;69%;78%;12%
Können Schuppentiere das Virus auf den Menschen übertragen?2;Ja;Nein;Ja, aber nur durch körperlichen Kontakt
Können Fledermäuse das Virus auf Menschen übertragen?1;Ja;Nein;Ja, aber nur durch körperlichen Kontakt
Kann das Virus durch Hunde auf den Menschen übertragen werden?2;Ja;Nein;Ja, aber nur durch körperlichen Kontakt
Kann das Virus durch Katzen auf den Menschen übertragen werden?2;Ja;Nein;Ja, aber nur durch körperlichen Kontakt
Kann das Virus durch Hamster auf den Menschen übertragen werden?2;Ja;Nein;Ja, aber nur durch körperlichen Kontakt
Können Ratten das Virus auf den Menschen übertragen?3;Ja;Nein;Ja, aber nur durch körperlichen Kontakt
Wie viel Prozent der menschlichen Viren stammen von Tieren?3;75%;95%;55%
Warum sind Fledermäuse gute Überträger von Viren?2;Da ihre Immun- und Entzündungsreaktionen gegen verschiedene Viren sehr begrenzt;Weil ihre Immunreaktionen sehr langsam sind;Weil sie unter schrecklichen hygienischen Bedingungen leben
Gibt es Viren für Pflanzen?1;Ja;Nein;Nein, aber sie sind in der Lage, Viren zu übertragen
Kann SARS-CoV-2 Pflanzen infizieren?2;Nein;Ja;Ja, aber nur durch körperlichen Kontakt
Können wir pflanzliche Impfstoffe gegen COVID-19 herstellen?2;Ja;Nein;Nein, aber sie können Teil des Impfstoffs sein
Welches Tier überträgt das Virus nicht?1;Fisch;Hund;Katze
Kann das Virus auf Tiere übertragen werden?1;Ja, aber nicht alle;Ja;Nein
Können Tiere das Virus auf uns übertragen?1;Ja, aber nicht alle;Ja;Nein
Wie wurde die Tier-Mensch-Beziehung nach der Wiedereröffnung der Zoos wiederhergestellt?1;Gefälliger;Ungünstiger;Ohne Veränderungen
Besteht beim Tierhandel das Risiko einer Virusinfektion?1;Ja;Nein;Ja, aber nicht alle
Besteht beim Kauf und Verkauf von Tieren ein Infektionsrisiko?1;Ja;Nein;Ja, aber nicht alles
Stellt der Tierhandel ein größeres Infektionsrisiko dar als das Gehen in überfüllten Räumen?1;Nein;Ja;Ja, aber nicht alles
Wilderei während der Pandemie…2;ist angestiegen;hat verringert;hat sich nicht verändert
Welche Tiere sind für die Übertragung des Coronavirus auf den Menschen umstritten?1;Die Fledermaus und das Schuppentier;Die Fledermaus und das Schwein;Die Fledermaus und die Ratte
Wie viele unbekannte Säugetierviren gibt es?2;Mindestens 320.000;Mindestens 10.000;Mindestens 100.000
Hat sich die Schließung von Zoos auf das Verhalten der Tiere ausgewirkt?1;Ja;Nein;Ja, aber nicht alles
Wie ähnlich ist die menschliche DNS der einer Katze?2;Etwa 90%;Etwa 20%;Etwa 60%
