¿Se puede transmitir el virus por la picadura de mosquitos?2;No;Sí;Sí, pero dentro de las 24 horas posteriores a la picadura
¿Qué tan similar es el ADN de los virus humanos al de un pangolín?3;99%;82%;32%
¿Qué tan similar es el ADN de los virus humanos al de un murciélago?3;88%;63%;96%
¿Qué tan similar es el ADN humano al de un perro?3;82%;54%;24%
¿Qué tan similar es el ADN humano al de una vaca?3;80%;30%;50%
¿Qué tan similar es el ADN humano al de una rata?3;69%;78%;12%
¿Pueden los pangolines transmitir el virus a los humanos?2;Sí;No;Sí, pero sólo a través del contacto físico
¿Pueden los murciélagos transmitir el virus a los humanos?1;Sí;No;Sí, pero sólo a través del contacto físico
¿Se puede transmitir el virus a los humanos a través de los perros?2;Sí;No;Sí, pero sólo a través del contacto físico
¿Se puede transmitir el virus a los humanos a través de los gatos?2;Sí;No;Sí, pero sólo a través del contacto físico
¿Se puede transmitir el virus a los humanos a través de los hámsters?2;Sí;No;Sí, pero sólo a través del contacto físico
¿Pueden las ratas transmitir el virus a los humanos?3;Sí;No;Sí, pero sólo a través del contacto físico
¿Qué porcentaje de virus humanos provienen de animales?3;75%;95%;55%
¿Por qué los murciélagos son buenos portadores de virus?2;Porque sus respuestas inmunológicas e inflamatorias contra varios virus son muy limitadas;Porque sus respuestas inmunológicas son muy tardías;Porque viven en pésimas condiciones sanitarias
¿Existen virus para las plantas?1;Sí;No;No, pero son capaces de transmitir virus
¿Puede SARS-CoV-2 infectar plantas?2;No;Sí;Sí, pero sólo a través del contacto físico
¿Podemos hacer vacunas a base de plantas contra el COVID-19?2;Sí;No;No, pero pueden ser parte de la vacuna
¿Qué animal no transmite el virus?1;Pez;Perro;Gato
¿Se puede transmitir el virus a los animales?1;Sí, pero no a todos;Sí;No
¿Pueden los animales transmitirnos el virus?1;Sí, pero no todos;Sí;No
¿Cómo se restableció la relación animal-humano tras la reapertura de los zoológicos?1;Más favorable;Más desfavorable;Sin alteración
¿El tráfico de animales plantea riesgos de infección viral?1;Sí;No;Sí, pero no todos
¿La compra y venta de animales presenta riesgos de infección?1;Sí;No;Si, pero no todo
¿El tráfico de animales presenta más riesgos de infección que caminar en un espacio lleno de gente?1;No;Sí;Sí, pero no todos
La caza furtiva durante la pandemia…2;ha aumentado;ha disminuido;no cambió
¿Qué animales han sido debatidos por transmitir el coronavirus a los humanos?1;El murciélago y el pangolín;El murciélago y el cerdo;El murciélago y la rata
¿Cuántos virus de mamíferos desconocidos hay?2;Al menos 320.000;Al menos 10.000;Al menos 100.000
¿El cierre de los zoológicos ha tenido un impacto en el comportamiento animal?1;Sí;No;Sí, pero no todos
¿Qué tan similar es el ADN humano al de un gato?2;Alrededor del 90%;Alrededor del 20%;Alrededor del 60%
