Le virus peut-il être transmis par piqûre de moustiques?2;Non;Oui, mais dans le 24h après la piqûre;Oui
Quelle est la ressemblance entre l’ADN des virus humains et celui d’un pangolin?3;99%;82%;32%
Quelle est la ressemblance entre l’ADN des virus humains et celui d’une chauve-souris?3;88%;63%;96%
Quelle est la ressemblance entre l’ADN humain et celui d’un chien?3;82%;54%;24%
Quelle est la ressemblance entre l’ADN humain et celui d’une vache?3;80%;50%;30%
Quel est la ressemblance entre l’ADN humain et celui d’un rat?3;69%;78%;12%
Le virus peut-il être transmis aux humains par les pangolins?2;Oui;Non;Oui, mais juste par contact physique
Le virus peut-il être transmis aux humains par les chauves-souris?1;Oui;Non;Oui, mais juste par contact physique
Le virus peut-il être transmis aux humains par les chiens?2;Oui;Non;Oui, mais juste par contact physique
Le virus peut-il être transmis aux humains par les chats?2;Oui;Non;Oui, mais juste par contact physique
Le virus peut-il être transmis aux humains par les hamsters?2;Oui;Non;Oui, mais juste par contact physique
Le virus peut-il être transmis aux humains par les rats?3;Oui;Non;Oui, mais juste par contact physique
Quel pourcentage de virus humains viennent des animaux?3;75%;95%;55%
Pourquoi les chauves-souris sont des bons porteurs de virus?2;Parce que leurs réponses immunologiques et inflammatoires contre diverses virus sont très limitées;Parce qu’elles vivent dans des conditions sanitaires épouvantables;Parce que leurs réponses immunologiques sont très tardives
Y a-t-il de virus pour les plantes?1;Oui;Non;Non, mais elles sont capables de transmettre des virus
Le SARS-CoV-2 peut-il infecter les plantes?2;Non;Oui;Oui, mais juste par contact physique
Peut-on faire des vaccins sur base des plantes contre le COVID-19?2;Oui;Non;Non, mais elles peuvent faire partie du vaccin
Quel animal ne transmet pas le virus?1;Poisson;Chien;Chat
Peut-on transmettre le virus aux animaux?1;Oui, mais pas à tous;Oui;Non
Les animaux peuvent-ils nous transmettre le virus?1;Oui, mais pas tous;Oui;Non
Comment s’est rétablie la relation animal-humain après la réouverture des zoos?1;Plus favorable;Plus défavorable;Inchangée
Le trafique des animaux engendre-t-il des possibilités d’infection virale?1;Oui;Non;Oui, mais pas à tous
L’achat et vente des animaux engendre-t-il des possibilités d’infection?1;Oui;Non;Oui, mais pas tous
Le trafique des animaux engendre-t-il plus de possibilités d’infection que se promener dans un espace rempli des gens?1;Non;Oui;Oui, mais pas tous
La chasse furtive pendant la pandémie…2;a augmenté;a diminué;n’a pas changé
Quels animaux ont fait sujet de débat après avoir transmis le coronavirus aux humains?1;La chauve-souris et le pangolin;La chauve-souris et le cochon;La chauve-souris et le rat
Combien y a-t-il des virus méconnus chez les mammifères?2;Au minimum 320.000;Au minimum 10.000;Au minimum 100.000
La fermeture des zoos a-t-elle eu un impact sur les comportements des animaux?1;Oui;Non;Oui, mais pas tous
Quel est la ressemblance entre l’ADN humain et celui d’un chat?2;Environ 90%;Environ 20%;Environ 60%
