Kan viruset overføres gjennom myggstikk?2;Ja, men innen 24 timer etter bittet;Nei;Ja
Hvor likt er DNAet til menneskelige virus det til en pangolin?3;99%;82%;32%
Hvor likt er DNAet til menneskelige virus sammenliknet med flaggermus?3;88%;63%;96%
Hvor likt er DNAet til mennesker og hunder?3;82%;54%;24%
Hvor likt er DNAet til mennesker og kuer?3;80%;50%;30%
Hvor likt er DNAet til mennesker og rotter?3;69%;12%;78%
Kan pangoliner overføre viruset til mennesker?2;Ja;Nei;Ja, men bare gjennom fysisk kontakt
Kan flaggermus overføre viruset til mennesker?1;Ja;Nei;Ja, men bare gjennom fysisk kontakt
Kan hunder overføre viruset til mennesker?2;Ja;Nei;Ja, men bare gjennom fysisk kontakt
Kan viruset overføres til mennesker fra katter?2;Ja;Nei;Ja, men bare gjennom fysisk kontakt
Kan viruset overføres til mennesker fra hamstere?2;Ja;Nei;Ja, men bare gjennom fysisk kontakt
Kan rotter overføre viruset til mennesker?3;Ja;Nei;Ja, men bare gjennom fysisk kontakt
Hvor mange prosent av menneskelige virus kommer fra dyr?3;75%;95%;55%
Hvorfor er flaggermus gode vektorer for virus?2;Fordi deres immun- og inflammatoriske responser på ulike virus er svært begrenset;Fordi de lever under forferdelige hygieniske forhold;Fordi deres immunrespons er veldig treg
Finnes det virus for planter?1;Ja;Nei;Nei, men de kan overføre virus
Kan SARS-CoV-2 infisere planter?2;Nei;Ja;Ja, men bare gjennom fysisk kontakt
Kan vi lage urtevaksiner mot COVID-19?2;Ja;Nei;Nei, men de kan være en del av vaksinen
Hvilket dyr overfører ikke viruset?1;Fisk;Hund;Katt
Kan viruset overføres til dyr?1;Ja, men ikke alle;Ja;Nei
Kan dyr overføre viruset til oss?1;Ja, men ikke alle;Ja;Nei
Hvordan ble forholdet mellom dyr og mennesker gjenopprettet etter gjenåpningen av dyreparker?1;Mer gunstig;Mindre gunstig;Uten endringer
Er det fare for virusinfeksjon i dyrehandelen?1;Ja;Nei;Ja, men ikke alle
Er det fare for forurensning ved kjøp og salg av dyr?1;Ja;Nei;Ja, men ikke alle
Utgjør dyrehandel en større risiko for infeksjon enn å gå i overfylte områder?1;Nei;Ja;Ja, men ikke alle
Krypskyting under pandemien…2;har økt;har minket;endret seg ikke
Hvilke dyr er kontroversielle fordi de overfører koronaviruset til mennesker?1;Flaggermusen og pangolinen;Flaggermusen og grisen;Flaggermusen og rotta
Hvor mange ukjente pattedyrvirus finnes det?2;Minst 320.000;Minst 10.000;Minst 100.000
Har stengningen av dyrehager påvirket dyreadferd?1;Ja;Nei;Ja, men ikke alle
Hvor likt er DNAet til mennesker og katter?2;Omtrent 90%;Omtrent 20%;Omtrent 60%
